year,election_type,district,ward,ed_num,ed_label,shapefile_key,Julie Propis Penman,Marc A. Coppola,"Blank, Void & Scattering",TOTAL,Brian C. Davis,David A. Franczyk,Anthony Pendergrass,Patsy J. Bevelock Jr.,Richard A. Fontana,Ricky T. Donovan Sr.,Antoine M. Thompson,Dominic J. Bonifacio Jr.,Dominic J. Bonifacio Jr. Consevative,Joseph Golombek Jr.,Genevieve M. Kenyon,James D. Griffin,Mary M. Martino,Bonnie E. Russell
2003,general,delaware,DEL,1,1st District ……………,Buffalo DEL 1,77.0,158.0,31,266,,,,,,,,,,,,,,
2003,general,delaware,DEL,2,2nd District ……………,Buffalo DEL 2,62.0,266.0,30,358,,,,,,,,,,,,,,
2003,general,delaware,DEL,3,3rd District ……………,Buffalo DEL 3,44.0,141.0,27,212,,,,,,,,,,,,,,
2003,general,delaware,DEL,4,4th District ……………,Buffalo DEL 4,74.0,214.0,21,309,,,,,,,,,,,,,,
2003,general,delaware,DEL,5,5th District ……………,Buffalo DEL 5,109.0,88.0,13,210,,,,,,,,,,,,,,
2003,general,delaware,DEL,6,6th District ……………,Buffalo DEL 6,71.0,262.0,18,351,,,,,,,,,,,,,,
2003,general,delaware,DEL,7,7th District ……………,Buffalo DEL 7,65.0,129.0,17,211,,,,,,,,,,,,,,
2003,general,delaware,DEL,8,8th District ……………,Buffalo DEL 8,162.0,192.0,22,376,,,,,,,,,,,,,,
2003,general,delaware,DEL,9,9th District ……………,Buffalo DEL 9,94.0,126.0,18,238,,,,,,,,,,,,,,
2003,general,delaware,DEL,10,10th District ……………,Buffalo DEL 10,65.0,184.0,19,268,,,,,,,,,,,,,,
2003,general,delaware,DEL,11,11th District ……………,Buffalo DEL 11,13.0,22.0,6,41,,,,,,,,,,,,,,
2003,general,delaware,DEL,12,12th District ……………,Buffalo DEL 12,96.0,229.0,37,362,,,,,,,,,,,,,,
2003,general,delaware,DEL,13,13th District ……………,Buffalo DEL 13,39.0,138.0,19,196,,,,,,,,,,,,,,
2003,general,delaware,DEL,14,14th District ……………,Buffalo DEL 14,22.0,62.0,13,97,,,,,,,,,,,,,,
2003,general,delaware,DEL,15,15th District ……………,Buffalo DEL 15,87.0,204.0,33,324,,,,,,,,,,,,,,
2003,general,delaware,DEL,16,16th District ……………,Buffalo DEL 16,53.0,140.0,16,209,,,,,,,,,,,,,,
