year,election_type,district,ward,ed_num,ed_label,shapefile_key,Brian C. Davis,Donald Turk Barnes,"Blank, Void & Scattering",TOTAL,Charley H. Fisher III,David A. Franczyk,Ronald H. Fleming,Clarence D. Dent,Patsy J. Bevelock Jr.,Robert M. Okoniewski,Richard A. Fontana,Louis D. Turchiarelli,Dominic J. Bonifacio Jr.,James D. Griffin,Mary M. Martino,Betty Jean Grant,Bonnie E. Russell
2003,primary,ellicott,ELL,1,1st District ……………,Buffalo ELL 1,10.0,11.0,3,24,,,,,,,,,,,,,
2003,primary,ellicott,ELL,2,2nd District ……………,Buffalo ELL 2,52.0,9.0,6,67,,,,,,,,,,,,,
2003,primary,ellicott,ELL,3,3rd District ……………,Buffalo ELL 3,71.0,6.0,17,94,,,,,,,,,,,,,
2003,primary,ellicott,ELL,4,4th District ……………,Buffalo ELL 4,52.0,8.0,12,72,,,,,,,,,,,,,
2003,primary,ellicott,ELL,5,5th District ……………,Buffalo ELL 5,44.0,4.0,6,54,,,,,,,,,,,,,
2003,primary,ellicott,ELL,6,6th District ……………,Buffalo ELL 6,74.0,14.0,10,98,,,,,,,,,,,,,
2003,primary,ellicott,ELL,7,7th District ……………,Buffalo ELL 7,29.0,4.0,12,45,,,,,,,,,,,,,
2003,primary,ellicott,ELL,8,8th District ……………,Buffalo ELL 8,52.0,9.0,35,96,,,,,,,,,,,,,
2003,primary,ellicott,ELL,9,9th District ……………,Buffalo ELL 9,49.0,18.0,24,91,,,,,,,,,,,,,
2003,primary,ellicott,ELL,10,10th District ……………,Buffalo ELL 10,0.0,0.0,0,0,,,,,,,,,,,,,
2003,primary,ellicott,ELL,11,11th District ……………,Buffalo ELL 11,56.0,11.0,11,78,,,,,,,,,,,,,
2003,primary,ellicott,ELL,12,12th District ……………,Buffalo ELL 12,6.0,2.0,0,8,,,,,,,,,,,,,
2003,primary,ellicott,ELL,13,13th District ……………,Buffalo ELL 13,50.0,10.0,13,73,,,,,,,,,,,,,
2003,primary,ellicott,ELL,14,14th District ……………,Buffalo ELL 14,81.0,28.0,6,115,,,,,,,,,,,,,
2003,primary,ellicott,ELL,15,15th District ……………,Buffalo ELL 15,127.0,10.0,17,154,,,,,,,,,,,,,
2003,primary,ellicott,ELL,16,16th District ……………,Buffalo ELL 16,103.0,9.0,11,123,,,,,,,,,,,,,
2003,primary,ellicott,ELL,17,17th District ……………,Buffalo ELL 17,39.0,7.0,13,59,,,,,,,,,,,,,
2003,primary,ellicott,ELL,18,18th District ……………,Buffalo ELL 18,155.0,39.0,25,219,,,,,,,,,,,,,
2003,primary,ellicott,ELL,19,19th District ……………,Buffalo ELL 19,26.0,2.0,6,34,,,,,,,,,,,,,
2003,primary,ellicott,ELL,20,20th District ……………,Buffalo ELL 20,32.0,17.0,54,103,,,,,,,,,,,,,
2003,primary,ellicott,ELL,21,21st District ……………,Buffalo ELL 21,6.0,2.0,1,9,,,,,,,,,,,,,
2003,primary,ellicott,ELL,22,22nd District ……………,Buffalo ELL 22,29.0,6.0,3,38,,,,,,,,,,,,,
2003,primary,ellicott,ELL,23,23rd District ……………,Buffalo ELL 23,116.0,13.0,11,140,,,,,,,,,,,,,
