year,election_type,district,ward,ed_num,ed_label,shapefile_key,Michael J. LoCurto,"Blank, Void & Scattering",TOTAL,Brian C. Davis,Bryon J. McIntyre,David A. Franczyk,Richard A. Fontana,Demone A. Smith,David A. Rivera,Sergio R. Rodriguez,Peter J. Savage III,Sergio R. Rodriguez Taxpayers First,Eric M. Jones,Joseph Golombek Jr,Michael P. Kearns,Bonnie E. Russell
2007,general,delaware,DEL,1,1st District ……………,Buffalo DEL 1,183.0,73,256,,,,,,,,,,,,,
2007,general,delaware,DEL,2,2nd District ……………,Buffalo DEL 2,205.0,44,249,,,,,,,,,,,,,
2007,general,delaware,DEL,3,3rd District ……………,Buffalo DEL 3,114.0,48,162,,,,,,,,,,,,,
2007,general,delaware,DEL,4,4th District ……………,Buffalo DEL 4,208.0,71,279,,,,,,,,,,,,,
2007,general,delaware,DEL,5,5th District ……………,Buffalo DEL 5,95.0,55,150,,,,,,,,,,,,,
2007,general,delaware,DEL,6,6th District ……………,Buffalo DEL 6,225.0,69,294,,,,,,,,,,,,,
2007,general,delaware,DEL,7,7th District ……………,Buffalo DEL 7,141.0,50,191,,,,,,,,,,,,,
2007,general,delaware,DEL,8,8th District ……………,Buffalo DEL 8,216.0,94,310,,,,,,,,,,,,,
2007,general,delaware,DEL,9,9th District ……………,Buffalo DEL 9,172.0,56,228,,,,,,,,,,,,,
2007,general,delaware,DEL,10,10th District ……………,Buffalo DEL 10,175.0,50,225,,,,,,,,,,,,,
2007,general,delaware,DEL,11,11th District ……………,Buffalo DEL 11,16.0,7,23,,,,,,,,,,,,,
2007,general,delaware,DEL,12,12th District ……………,Buffalo DEL 12,215.0,74,289,,,,,,,,,,,,,
2007,general,delaware,DEL,13,13th District ……………,Buffalo DEL 13,144.0,23,167,,,,,,,,,,,,,
2007,general,delaware,DEL,14,14th District ……………,Buffalo DEL 14,53.0,22,75,,,,,,,,,,,,,
2007,general,delaware,DEL,15,15th District ……………,Buffalo DEL 15,213.0,60,273,,,,,,,,,,,,,
2007,general,delaware,DEL,16,16th District ……………,Buffalo DEL 16,120.0,54,174,,,,,,,,,,,,,
2007,general,delaware,DEL,17,17th District ……………,Buffalo DEL 17,63.0,30,93,,,,,,,,,,,,,
2007,general,delaware,DEL,18,18th District ……………,Buffalo DEL 18,80.0,47,127,,,,,,,,,,,,,
2007,general,delaware,DEL,19,19th District ……………,Buffalo DEL 19,234.0,99,333,,,,,,,,,,,,,
2007,general,delaware,DEL,20,20th District ……………,Buffalo DEL 20,144.0,53,197,,,,,,,,,,,,,
2007,general,delaware,DEL,21,21st District ……………,Buffalo DEL 21,137.0,32,169,,,,,,,,,,,,,
2007,general,delaware,DEL,22,22nd District ……………,Buffalo DEL 22,151.0,26,177,,,,,,,,,,,,,
2007,general,delaware,DEL,23,23rd District ……………,Buffalo DEL 23,128.0,40,168,,,,,,,,,,,,,
2007,general,delaware,DEL,24,24th District ……………,Buffalo DEL 24,183.0,52,235,,,,,,,,,,,,,
2007,general,delaware,DEL,25,25th District ……………,Buffalo DEL 25,182.0,61,243,,,,,,,,,,,,,
2007,general,delaware,DEL,26,26th District ……………,Buffalo DEL 26,279.0,90,369,,,,,,,,,,,,,
2007,general,delaware,DEL,27,27th District ……………,Buffalo DEL 27,205.0,74,279,,,,,,,,,,,,,
2007,general,delaware,DEL,28,28th District ……………,Buffalo DEL 28,78.0,62,140,,,,,,,,,,,,,
2007,general,delaware,DEL,29,29th District ……………,Buffalo DEL 29,220.0,59,279,,,,,,,,,,,,,
2007,general,delaware,DEL,30,30th District ……………,Buffalo DEL 30,233.0,83,316,,,,,,,,,,,,,
2007,general,delaware,DEL,31,31st District ……………,Buffalo DEL 31,119.0,29,148,,,,,,,,,,,,,
2007,general,delaware,DEL,32,32nd District ……………,Buffalo DEL 32,191.0,65,256,,,,,,,,,,,,,
2007,general,delaware,DEL,33,33rd District ……………,Buffalo DEL 33,166.0,42,208,,,,,,,,,,,,,
2007,general,delaware,DEL,34,34th District ……………,Buffalo DEL 34,170.0,61,231,,,,,,,,,,,,,
2007,general,delaware,DEL,35,35th District ……………,Buffalo DEL 35,14.0,3,17,,,,,,,,,,,,,
2007,general,delaware,DEL,36,36th District ……………,Buffalo DEL 36,263.0,95,358,,,,,,,,,,,,,
2007,general,delaware,DEL,37,37th District ……………,Buffalo DEL 37,58.0,15,73,,,,,,,,,,,,,
2007,general,delaware,DEL,38,38th District ……………,Buffalo DEL 38,91.0,20,111,,,,,,,,,,,,,
2007,general,delaware,DEL,39,39th District ……………,Buffalo DEL 39,243.0,85,328,,,,,,,,,,,,,
2007,general,ellicott,ELL,1,1st District ……………,Buffalo ELL 1,,13,60,34.0,13.0,,,,,,,,,,,
2007,general,ellicott,ELL,2,2nd District ……………,Buffalo ELL 2,,12,77,61.0,4.0,,,,,,,,,,,
2007,general,ellicott,ELL,3,3rd District ……………,Buffalo ELL 3,,5,97,87.0,5.0,,,,,,,,,,,
2007,general,ellicott,ELL,4,4th District ……………,Buffalo ELL 4,,10,84,61.0,13.0,,,,,,,,,,,
2007,general,ellicott,ELL,5,5th District ……………,Buffalo ELL 5,,26,158,95.0,37.0,,,,,,,,,,,
2007,general,ellicott,ELL,6,6th District ……………,Buffalo ELL 6,,14,105,78.0,13.0,,,,,,,,,,,
2007,general,ellicott,ELL,7,7th District ……………,Buffalo ELL 7,,25,110,72.0,13.0,,,,,,,,,,,
2007,general,ellicott,ELL,8,8th District ……………,Buffalo ELL 8,,38,122,80.0,4.0,,,,,,,,,,,
2007,general,ellicott,ELL,9,9th District ……………,Buffalo ELL 9,,20,116,86.0,10.0,,,,,,,,,,,
2007,general,ellicott,ELL,10,10th District ……………,Buffalo ELL 10,,0,0,0.0,0.0,,,,,,,,,,,
2007,general,ellicott,ELL,11,11th District ……………,Buffalo ELL 11,,25,93,60.0,8.0,,,,,,,,,,,
2007,general,ellicott,ELL,12,12th District ……………,Buffalo ELL 12,,7,30,20.0,3.0,,,,,,,,,,,
2007,general,ellicott,ELL,13,13th District ……………,Buffalo ELL 13,,13,123,99.0,11.0,,,,,,,,,,,
2007,general,ellicott,ELL,14,14th District ……………,Buffalo ELL 14,,25,187,138.0,24.0,,,,,,,,,,,
2007,general,ellicott,ELL,15,15th District ……………,Buffalo ELL 15,,23,168,134.0,11.0,,,,,,,,,,,
2007,general,ellicott,ELL,16,16th District ……………,Buffalo ELL 16,,15,170,150.0,5.0,,,,,,,,,,,
2007,general,ellicott,ELL,17,17th District ……………,Buffalo ELL 17,,12,66,50.0,4.0,,,,,,,,,,,
2007,general,ellicott,ELL,18,18th District ……………,Buffalo ELL 18,,32,217,167.0,18.0,,,,,,,,,,,
2007,general,ellicott,ELL,19,19th District ……………,Buffalo ELL 19,,23,110,61.0,26.0,,,,,,,,,,,
2007,general,ellicott,ELL,20,20th District ……………,Buffalo ELL 20,,7,80,68.0,5.0,,,,,,,,,,,
2007,general,ellicott,ELL,21,21st District ……………,Buffalo ELL 21,,8,32,15.0,9.0,,,,,,,,,,,
2007,general,ellicott,ELL,22,22nd District ……………,Buffalo ELL 22,,11,68,53.0,4.0,,,,,,,,,,,
2007,general,ellicott,ELL,23,23rd District ……………,Buffalo ELL 23,,15,116,85.0,16.0,,,,,,,,,,,
