year,election_type,district,ward,ed_num,ed_label,shapefile_key,Michael J. LoCurto,Jessica Maglietto,"Blank, Void & Scattering",TOTAL,Brian C. Davis,Bryon J. McIntyre,David A. Franczyk,Samuel A. Herbert,Melissa R. H. Brown,Demone A. Smith,Terrence A. Robinson,Dwayne A. Ferguson,David A. Rivera,Peter J. Savage III
2007,primary,delaware,DEL,1,1st District ……………,Buffalo DEL 1,69.0,78.0,9,156,,,,,,,,,,
2007,primary,delaware,DEL,2,2nd District ……………,Buffalo DEL 2,218.0,73.0,21,312,,,,,,,,,,
2007,primary,delaware,DEL,3,3rd District ……………,Buffalo DEL 3,116.0,80.0,13,209,,,,,,,,,,
2007,primary,delaware,DEL,5,5th District ……………,Buffalo DEL 5,257.0,86.0,17,360,,,,,,,,,,
2007,primary,delaware,DEL,6,6th District ……………,Buffalo DEL 6,359.0,143.0,28,530,,,,,,,,,,
2007,primary,delaware,DEL,7,7th District ……………,Buffalo DEL 7,196.0,90.0,22,308,,,,,,,,,,
2007,primary,delaware,DEL,8,8th District ……………,Buffalo DEL 8,68.0,45.0,5,118,,,,,,,,,,
2007,primary,delaware,DEL,9,9th District ……………,Buffalo DEL 9,152.0,49.0,4,205,,,,,,,,,,
2007,primary,delaware,DEL,10,10th District ……………,Buffalo DEL 10,79.0,52.0,1,132,,,,,,,,,,
2007,primary,delaware,DEL,11,11th District ……………,Buffalo DEL 11,7.0,9.0,1,17,,,,,,,,,,
2007,primary,delaware,DEL,12,12th District ……………,Buffalo DEL 12,101.0,71.0,2,174,,,,,,,,,,
2007,primary,delaware,DEL,13,13th District ……………,Buffalo DEL 13,146.0,34.0,6,186,,,,,,,,,,
2007,primary,delaware,DEL,14,14th District ……………,Buffalo DEL 14,18.0,25.0,2,45,,,,,,,,,,
2007,primary,delaware,DEL,15,15th District ……………,Buffalo DEL 15,94.0,58.0,3,155,,,,,,,,,,
2007,primary,delaware,DEL,17,17th District ……………,Buffalo DEL 17,30.0,13.0,5,48,,,,,,,,,,
2007,primary,delaware,DEL,18,18th District ……………,Buffalo DEL 18,21.0,67.0,7,95,,,,,,,,,,
2007,primary,delaware,DEL,19,19th District ……………,Buffalo DEL 19,135.0,24.0,6,165,,,,,,,,,,
2007,primary,delaware,DEL,20,20th District ……………,Buffalo DEL 20,119.0,83.0,13,215,,,,,,,,,,
2007,primary,delaware,DEL,21,21st District ……………,Buffalo DEL 21,105.0,73.0,9,187,,,,,,,,,,
2007,primary,delaware,DEL,24,24th District ……………,Buffalo DEL 24,79.0,17.0,8,104,,,,,,,,,,
2007,primary,delaware,DEL,25,25th District ……………,Buffalo DEL 25,71.0,38.0,5,114,,,,,,,,,,
2007,primary,delaware,DEL,28,28th District ……………,Buffalo DEL 28,35.0,23.0,14,72,,,,,,,,,,
2007,primary,delaware,DEL,30,30th District ……………,Buffalo DEL 30,91.0,28.0,4,123,,,,,,,,,,
2007,primary,delaware,DEL,37,37th District ……………,Buffalo DEL 37,26.0,7.0,0,33,,,,,,,,,,
2007,primary,delaware,DEL,38,38th District ……………,Buffalo DEL 38,32.0,56.0,3,91,,,,,,,,,,
2007,primary,ellicott,ELL,1,1st District ……………,Buffalo ELL 1,,,9,56,28.0,19.0,,,,,,,,
2007,primary,ellicott,ELL,2,2nd District ……………,Buffalo ELL 2,,,2,96,66.0,28.0,,,,,,,,
2007,primary,ellicott,ELL,3,3rd District ……………,Buffalo ELL 3,,,7,271,181.0,83.0,,,,,,,,
2007,primary,ellicott,ELL,4,4th District ……………,Buffalo ELL 4,,,6,65,36.0,23.0,,,,,,,,
2007,primary,ellicott,ELL,5,5th District ……………,Buffalo ELL 5,,,2,51,40.0,9.0,,,,,,,,
2007,primary,ellicott,ELL,6,6th District ……………,Buffalo ELL 6,,,3,70,53.0,14.0,,,,,,,,
2007,primary,ellicott,ELL,8,8th District ……………,Buffalo ELL 8,,,32,131,72.0,27.0,,,,,,,,
2007,primary,ellicott,ELL,11,11th District ……………,Buffalo ELL 11,,,7,43,31.0,5.0,,,,,,,,
2007,primary,ellicott,ELL,12,12th District ……………,Buffalo ELL 12,,,0,10,8.0,2.0,,,,,,,,
2007,primary,ellicott,ELL,13,13th District ……………,Buffalo ELL 13,,,7,54,41.0,6.0,,,,,,,,
2007,primary,ellicott,ELL,14,14th District ……………,Buffalo ELL 14,,,4,226,172.0,50.0,,,,,,,,
2007,primary,ellicott,ELL,16,16th District ……………,Buffalo ELL 16,,,0,117,96.0,21.0,,,,,,,,
2007,primary,ellicott,ELL,17,17th District ……………,Buffalo ELL 17,,,15,39,15.0,9.0,,,,,,,,
2007,primary,ellicott,ELL,18,18th District ……………,Buffalo ELL 18,,,4,231,168.0,59.0,,,,,,,,
2007,primary,ellicott,ELL,22,22nd District ……………,Buffalo ELL 22,,,5,52,41.0,6.0,,,,,,,,
2007,primary,ellicott,ELL,23,23rd District ……………,Buffalo ELL 23,,,2,75,55.0,18.0,,,,,,,,
2007,primary,ellicott,ELL,25,25th District ……………,Buffalo ELL 25,,,2,107,79.0,26.0,,,,,,,,
2007,primary,ellicott,ELL,27,27th District ……………,Buffalo ELL 27,,,3,227,183.0,41.0,,,,,,,,
2007,primary,ellicott,ELL,28,28th District ……………,Buffalo ELL 28,,,1,12,7.0,4.0,,,,,,,,
2007,primary,ellicott,ELL,31,31st District ……………,Buffalo ELL 31,,,0,50,45.0,5.0,,,,,,,,
2007,primary,ellicott,ELL,32,32nd District ……………,Buffalo ELL 32,,,5,40,19.0,16.0,,,,,,,,
2007,primary,ellicott,ELL,34,34th District ……………,Buffalo ELL 34,,,0,60,52.0,8.0,,,,,,,,
2007,primary,ellicott,ELL,35,35th District ……………,Buffalo ELL 35,,,23,131,79.0,29.0,,,,,,,,
2007,primary,ellicott,ELL,39,39th District ……………,Buffalo ELL 39,,,5,86,69.0,12.0,,,,,,,,
2007,primary,ellicott,ELL,40,40th District ……………,Buffalo ELL 40,,,7,117,89.0,21.0,,,,,,,,
2007,primary,ellicott,ELL,41,41st District ……………,Buffalo ELL 41,,,4,30,20.0,6.0,,,,,,,,
2007,primary,fillmore,FIL,1,1st District ……………,Buffalo FIL 1,,,0,39,,,36.0,3.0,,,,,,
2007,primary,fillmore,FIL,2,2nd District ……………,Buffalo FIL 2,,,11,104,,,32.0,61.0,,,,,,
2007,primary,fillmore,FIL,3,3rd District ……………,Buffalo FIL 3,,,3,56,,,33.0,20.0,,,,,,
2007,primary,fillmore,FIL,6,6th District ……………,Buffalo FIL 6,,,3,40,,,23.0,14.0,,,,,,
2007,primary,fillmore,FIL,7,7th District ……………,Buffalo FIL 7,,,5,60,,,41.0,14.0,,,,,,
2007,primary,fillmore,FIL,8,8th District ……………,Buffalo FIL 8,,,0,41,,,38.0,3.0,,,,,,
2007,primary,fillmore,FIL,10,10th District ……………,Buffalo FIL 10,,,1,33,,,16.0,16.0,,,,,,
2007,primary,fillmore,FIL,11,11th District ……………,Buffalo FIL 11,,,0,38,,,26.0,12.0,,,,,,
2007,primary,fillmore,FIL,12,12th District ……………,Buffalo FIL 12,,,3,57,,,36.0,18.0,,,,,,
2007,primary,fillmore,FIL,13,13th District ……………,Buffalo FIL 13,,,12,129,,,34.0,83.0,,,,,,
2007,primary,fillmore,FIL,17,17th District ……………,Buffalo FIL 17,,,7,78,,,63.0,8.0,,,,,,
2007,primary,fillmore,FIL,18,18th District ……………,Buffalo FIL 18,,,2,52,,,36.0,14.0,,,,,,
2007,primary,fillmore,FIL,23,23rd District ……………,Buffalo FIL 23,,,5,90,,,20.0,65.0,,,,,,
2007,primary,fillmore,FIL,24,24th District ……………,Buffalo FIL 24,,,19,158,,,125.0,14.0,,,,,,
2007,primary,fillmore,FIL,25,25th District ……………,Buffalo FIL 25,,,2,47,,,18.0,27.0,,,,,,
2007,primary,fillmore,FIL,27,27th District ……………,Buffalo FIL 27,,,10,127,,,34.0,83.0,,,,,,
2007,primary,fillmore,FIL,31,31st District ……………,Buffalo FIL 31,,,1,32,,,29.0,2.0,,,,,,
2007,primary,fillmore,FIL,32,32nd District ……………,Buffalo FIL 32,,,7,77,,,32.0,38.0,,,,,,
2007,primary,fillmore,FIL,35,35th District ……………,Buffalo FIL 35,,,12,214,,,75.0,127.0,,,,,,
2007,primary,fillmore,FIL,37,37th District ……………,Buffalo FIL 37,,,19,144,,,106.0,19.0,,,,,,
2007,primary,fillmore,FIL,40,40th District ……………,Buffalo FIL 40,,,4,56,,,46.0,6.0,,,,,,
2007,primary,fillmore,FIL,41,41st District ……………,Buffalo FIL 41,,,11,143,,,119.0,13.0,,,,,,
2007,primary,fillmore,FIL,42,42nd District ……………,Buffalo FIL 42,,,7,50,,,12.0,31.0,,,,,,
2007,primary,fillmore,FIL,46,46th District ……………,Buffalo FIL 46,,,15,58,,,13.0,30.0,,,,,,
2007,primary,masten,MAS,1,1st District ……………,Buffalo MAS 1,,,5,144,,,,,12.0,106.0,12.0,9.0,,
2007,primary,masten,MAS,2,2nd District ……………,Buffalo MAS 2,,,4,133,,,,,20.0,85.0,15.0,9.0,,
2007,primary,masten,MAS,3,3rd District ……………,Buffalo MAS 3,,,1,73,,,,,13.0,46.0,9.0,4.0,,
2007,primary,masten,MAS,4,4th District ……………,Buffalo MAS 4,,,2,72,,,,,6.0,46.0,13.0,5.0,,
2007,primary,masten,MAS,6,6th District ……………,Buffalo MAS 6,,,7,191,,,,,34.0,130.0,12.0,8.0,,
2007,primary,masten,MAS,7,7th District ……………,Buffalo MAS 7,,,1,94,,,,,20.0,52.0,8.0,13.0,,
2007,primary,masten,MAS,8,8th District ……………,Buffalo MAS 8,,,3,184,,,,,31.0,113.0,14.0,23.0,,
2007,primary,masten,MAS,9,9th District ……………,Buffalo MAS 9,,,1,93,,,,,16.0,59.0,10.0,7.0,,
2007,primary,masten,MAS,10,10th District ……………,Buffalo MAS 10,,,6,170,,,,,16.0,122.0,16.0,10.0,,
2007,primary,masten,MAS,12,12th District ……………,Buffalo MAS 12,,,1,50,,,,,11.0,32.0,1.0,5.0,,
2007,primary,masten,MAS,13,13th District ……………,Buffalo MAS 13,,,10,176,,,,,25.0,114.0,18.0,9.0,,
2007,primary,masten,MAS,15,15th District ……………,Buffalo MAS 15,,,6,115,,,,,16.0,64.0,20.0,9.0,,
2007,primary,masten,MAS,16,16th District ……………,Buffalo MAS 16,,,9,332,,,,,59.0,204.0,29.0,31.0,,
2007,primary,masten,MAS,17,17th District ……………,Buffalo MAS 17,,,5,220,,,,,24.0,151.0,10.0,30.0,,
2007,primary,masten,MAS,19,19th District ……………,Buffalo MAS 19,,,2,97,,,,,11.0,69.0,7.0,8.0,,
