year,election_type,district,ward,ed_num,ed_label,shapefile_key,Michael J. LoCurto,"Blank, Void & Scattering",TOTAL,Darius G. Pridgen,David A. Franczyk,Samuel A. Herbert,Richard A .Fontana,Richard A. Fontana,Demone A. Smith,David A. Rivera,Joseph Golombek Jr,Michael P. Kearns,Bonnie E. Russell
2011,general,delaware,DEL,1,1st District ……………,Buffalo DEL 1,2.0,4,6,,,,,,,,,,
2011,general,delaware,DEL,2,2nd District ……………,Buffalo DEL 2,208.0,45,253,,,,,,,,,,
2011,general,delaware,DEL,3,3rd District ……………,Buffalo DEL 3,109.0,40,149,,,,,,,,,,
2011,general,delaware,DEL,4,4th District ……………,Buffalo DEL 4,202.0,51,253,,,,,,,,,,
2011,general,delaware,DEL,5,5th District ……………,Buffalo DEL 5,126.0,49,175,,,,,,,,,,
2011,general,delaware,DEL,6,6th District ……………,Buffalo DEL 6,213.0,46,259,,,,,,,,,,
2011,general,delaware,DEL,7,7th District ……………,Buffalo DEL 7,64.0,15,79,,,,,,,,,,
2011,general,delaware,DEL,8,8th District ……………,Buffalo DEL 8,207.0,87,294,,,,,,,,,,
2011,general,delaware,DEL,9,9th District ……………,Buffalo DEL 9,156.0,50,206,,,,,,,,,,
2011,general,delaware,DEL,10,10th District ……………,Buffalo DEL 10,179.0,44,223,,,,,,,,,,
2011,general,delaware,DEL,11,11th District ……………,Buffalo DEL 11,55.0,15,70,,,,,,,,,,
2011,general,delaware,DEL,12,12th District ……………,Buffalo DEL 12,246.0,62,308,,,,,,,,,,
2011,general,delaware,DEL,13,13th District ……………,Buffalo DEL 13,164.0,25,189,,,,,,,,,,
2011,general,delaware,DEL,14,14th District ……………,Buffalo DEL 14,209.0,76,285,,,,,,,,,,
2011,general,delaware,DEL,15,15th District ……………,Buffalo DEL 15,256.0,56,312,,,,,,,,,,
2011,general,delaware,DEL,16,16th District ……………,Buffalo DEL 16,186.0,58,244,,,,,,,,,,
2011,general,delaware,DEL,17,17th District ……………,Buffalo DEL 17,265.0,65,330,,,,,,,,,,
