year,election_type,district,ward,ed_num,ed_label,shapefile_key,David A. Franczyk,Samuel A. Herbert,"Blank, Void & Scattering",TOTAL,Demone A. Smith,DeMario J. Badger,Joseph Golombek Jr,Kenneth J. Phillips,Pamela D. Cahill,Bonnie E. Russell,Rochelle A. Ricchiazzi
2011,primary,fillmore,FIL,1,1st District ……………,Buffalo FIL 1,85.0,9.0,0,94,,,,,,,
2011,primary,fillmore,FIL,2,2nd District ……………,Buffalo FIL 2,63.0,66.0,8,137,,,,,,,
2011,primary,fillmore,FIL,4,4th District ……………,Buffalo FIL 4,26.0,23.0,4,53,,,,,,,
2011,primary,fillmore,FIL,7,7th District ……………,Buffalo FIL 7,41.0,22.0,3,66,,,,,,,
2011,primary,fillmore,FIL,8,8th District ……………,Buffalo FIL 8,43.0,74.0,10,127,,,,,,,
2011,primary,fillmore,FIL,11,11th District ……………,Buffalo FIL 11,18.0,14.0,2,34,,,,,,,
2011,primary,fillmore,FIL,17,17th District ……………,Buffalo FIL 17,57.0,5.0,3,65,,,,,,,
2011,primary,fillmore,FIL,23,23rd District ……………,Buffalo FIL 23,24.0,64.0,8,96,,,,,,,
2011,primary,fillmore,FIL,24,24th District ……………,Buffalo FIL 24,127.0,27.0,20,174,,,,,,,
2011,primary,fillmore,FIL,25,25th District ……………,Buffalo FIL 25,11.0,18.0,5,34,,,,,,,
2011,primary,fillmore,FIL,27,27th District ……………,Buffalo FIL 27,27.0,53.0,9,89,,,,,,,
2011,primary,fillmore,FIL,30,30th District ……………,Buffalo FIL 30,91.0,11.0,3,105,,,,,,,
2011,primary,fillmore,FIL,31,31st District ……………,Buffalo FIL 31,50.0,3.0,58,111,,,,,,,
2011,primary,fillmore,FIL,32,32nd District ……………,Buffalo FIL 32,16.0,32.0,2,50,,,,,,,
2011,primary,fillmore,FIL,35,35th District ……………,Buffalo FIL 35,36.0,68.0,9,113,,,,,,,
2011,primary,fillmore,FIL,46,46th District ……………,Buffalo FIL 46,17.0,31.0,5,53,,,,,,,
2011,primary,fillmore,FIL,47,47th District..................,Buffalo FIL 47,47.0,15.0,2,64,,,,,,,
2011,primary,fillmore,FIL,49,49th District..................,Buffalo FIL 49,51.0,29.0,10,90,,,,,,,
2011,primary,fillmore,FIL,51,51st District.................,Buffalo FIL 51,18.0,8.0,0,26,,,,,,,
2011,primary,fillmore,FIL,52,52nd District................,Buffalo FIL 52,26.0,4.0,5,35,,,,,,,
2011,primary,fillmore,FIL,54,54th District.................,Buffalo FIL 54,59.0,7.0,4,70,,,,,,,
2011,primary,fillmore,FIL,58,58th District.................,Buffalo FIL 58,3.0,11.0,2,16,,,,,,,
2011,primary,masten,MAS,1,1st District ……………,Buffalo MAS 1,,,3,239,169.0,67.0,,,,,
2011,primary,masten,MAS,2,2nd District ……………,Buffalo MAS 2,,,5,74,55.0,14.0,,,,,
2011,primary,masten,MAS,3,3rd District ……………,Buffalo MAS 3,,,11,123,69.0,43.0,,,,,
2011,primary,masten,MAS,4,4th District ……………,Buffalo MAS 4,,,16,267,153.0,98.0,,,,,
2011,primary,masten,MAS,6,6th District ……………,Buffalo MAS 6,,,1,75,61.0,13.0,,,,,
2011,primary,masten,MAS,7,7th District ……………,Buffalo MAS 7,,,11,303,208.0,84.0,,,,,
2011,primary,masten,MAS,10,10th District ……………,Buffalo MAS 10,,,2,174,130.0,42.0,,,,,
2011,primary,masten,MAS,12,12th District ……………,Buffalo MAS 12,,,5,139,99.0,35.0,,,,,
2011,primary,masten,MAS,13,13th District ……………,Buffalo MAS 13,,,5,66,42.0,19.0,,,,,
2011,primary,masten,MAS,14,14th District ……………,Buffalo MAS 14,,,5,85,58.0,22.0,,,,,
2011,primary,masten,MAS,15,15th District ……………,Buffalo MAS 15,,,8,173,102.0,63.0,,,,,
2011,primary,masten,MAS,16,16th District ……………,Buffalo MAS 16,,,3,155,114.0,38.0,,,,,
2011,primary,masten,MAS,23,23rd District ……………,Buffalo MAS 23,,,4,81,61.0,16.0,,,,,
2011,primary,masten,MAS,25,25th District ……………,Buffalo MAS 25,,,5,136,101.0,30.0,,,,,
2011,primary,masten,MAS,28,28th District ……………,Buffalo MAS 28,,,6,224,164.0,54.0,,,,,
2011,primary,masten,MAS,38,38th District ……………,Buffalo MAS 38,,,2,108,68.0,38.0,,,,,
2011,primary,masten,MAS,42,42nd District..............,Buffalo MAS 42,,,0,19,12.0,7.0,,,,,
2011,primary,north,NOR,1,1st District ……………,Buffalo NOR 1,,,2,193,,,170.0,21.0,,,
2011,primary,north,NOR,2,2nd District ……………,Buffalo NOR 2,,,9,94,,,66.0,19.0,,,
2011,primary,north,NOR,4,4th District ……………,Buffalo NOR 4,,,2,121,,,108.0,11.0,,,
2011,primary,north,NOR,5,5th District ……………,Buffalo NOR 5,,,0,126,,,106.0,20.0,,,
2011,primary,north,NOR,8,8th District ……………,Buffalo NOR 8,,,0,21,,,18.0,3.0,,,
2011,primary,north,NOR,9,9th District ……………,Buffalo NOR 9,,,9,90,,,72.0,9.0,,,
2011,primary,north,NOR,10,10th District ……………,Buffalo NOR 10,,,4,75,,,49.0,22.0,,,
2011,primary,north,NOR,12,12th District ……………,Buffalo NOR 12,,,1,153,,,129.0,23.0,,,
2011,primary,north,NOR,16,16th District ……………,Buffalo NOR 16,,,6,164,,,131.0,27.0,,,
2011,primary,north,NOR,17,17th District ……………,Buffalo NOR 17,,,2,78,,,63.0,13.0,,,
2011,primary,north,NOR,19,19th District ……………,Buffalo NOR 19,,,2,29,,,16.0,11.0,,,
2011,primary,north,NOR,22,22nd District...............,Buffalo NOR 22,,,2,20,,,15.0,3.0,,,
2011,primary,north,NOR,24,24th District ……………,Buffalo NOR 24,,,5,77,,,50.0,22.0,,,
2011,primary,north,NOR,26,26th District ……………,Buffalo NOR 26,,,2,90,,,84.0,4.0,,,
2011,primary,north,NOR,27,27th District ……………,Buffalo NOR 27,,,0,4,,,1.0,3.0,,,
2011,primary,university,UNI,1,1st District ……………,Buffalo UNI 1,,,5,96,,,,,18.0,71.0,2.0
2011,primary,university,UNI,2,2nd District ……………,Buffalo UNI 2,,,6,177,,,,,34.0,103.0,34.0
2011,primary,university,UNI,3,3rd District ……………,Buffalo UNI 3,,,3,99,,,,,33.0,55.0,8.0
2011,primary,university,UNI,4,4th District ……………,Buffalo UNI 4,,,3,143,,,,,29.0,109.0,2.0
2011,primary,university,UNI,5,5th District ……………,Buffalo UNI 5,,,2,184,,,,,46.0,132.0,4.0
2011,primary,university,UNI,6,6th District ……………,Buffalo UNI 6,,,1,154,,,,,31.0,119.0,3.0
2011,primary,university,UNI,7,7th District ……………,Buffalo UNI 7,,,5,154,,,,,43.0,97.0,9.0
2011,primary,university,UNI,9,9th District ……………,Buffalo UNI 9,,,2,117,,,,,29.0,84.0,2.0
2011,primary,university,UNI,10,10th District ……………,Buffalo UNI 10,,,1,69,,,,,19.0,47.0,2.0
2011,primary,university,UNI,11,11th District ……………,Buffalo UNI 11,,,18,219,,,,,54.0,99.0,48.0
2011,primary,university,UNI,14,14th District ……………,Buffalo UNI 14,,,0,0,,,,,0.0,0.0,0.0
2011,primary,university,UNI,16,16th District ……………,Buffalo UNI 16,,,2,165,,,,,30.0,128.0,5.0
2011,primary,university,UNI,19,19th District ……………,Buffalo UNI 19,,,4,108,,,,,19.0,85.0,0.0
2011,primary,university,UNI,25,25th District ……………,Buffalo UNI 25,,,1,80,,,,,19.0,59.0,1.0
2011,primary,university,UNI,26,26th District ……………,Buffalo UNI 26,,,1,155,,,,,43.0,110.0,1.0
