year,election_type,district,ward,ed_num,ed_label,shapefile_key,Joel Feroleto,Peter A. Rouff,"Blank, Void & Scattering",TOTAL,Darius G. Pridgen,Terrance L. Heard 1 Ellicott,David A. Franczyk,David P. Howard,Richard A .Fontana,Richard A. Fontana,Ulysees O. Wingo Sr,Michael A. Woolford,Yvette Suarez,David A. Rivera,Charley Tarr,Joseph Golombek Jr,Christopher P. Scanlon,Rasheed N.C. Wyatt
2015,general,delaware,DEL,1,1st District ……………,Buffalo DEL 1,3.0,0.0,0,3,,,,,,,,,,,,,,
2015,general,delaware,DEL,2,2nd District ……………,Buffalo DEL 2,151.0,105.0,12,268,,,,,,,,,,,,,,
2015,general,delaware,DEL,3,3rd District ……………,Buffalo DEL 3,113.0,42.0,7,162,,,,,,,,,,,,,,
2015,general,delaware,DEL,4,4th District ……………,Buffalo DEL 4,66.0,30.0,10,106,,,,,,,,,,,,,,
2015,general,delaware,DEL,5,5th District ……………,Buffalo DEL 5,75.0,22.0,8,105,,,,,,,,,,,,,,
2015,general,delaware,DEL,6,6th District ……………,Buffalo DEL 6,72.0,17.0,6,95,,,,,,,,,,,,,,
2015,general,delaware,DEL,7,7th District ……………,Buffalo DEL 7,116.0,35.0,12,163,,,,,,,,,,,,,,
2015,general,delaware,DEL,8,8th District ……………,Buffalo DEL 8,152.0,60.0,11,223,,,,,,,,,,,,,,
2015,general,delaware,DEL,9,9th District ……………,Buffalo DEL 9,219.0,70.0,7,296,,,,,,,,,,,,,,
2015,general,delaware,DEL,10,10th District ……………,Buffalo DEL 10,80.0,36.0,5,121,,,,,,,,,,,,,,
2015,general,delaware,DEL,11,11th District ……………,Buffalo DEL 11,132.0,44.0,7,183,,,,,,,,,,,,,,
2015,general,delaware,DEL,12,12th District ……………,Buffalo DEL 12,112.0,59.0,5,176,,,,,,,,,,,,,,
2015,general,delaware,DEL,13,13th District ……………,Buffalo DEL 13,57.0,17.0,5,79,,,,,,,,,,,,,,
2015,general,delaware,DEL,14,14th District ……………,Buffalo DEL 14,89.0,26.0,5,120,,,,,,,,,,,,,,
2015,general,delaware,DEL,15,15th District ……………,Buffalo DEL 15,62.0,21.0,0,83,,,,,,,,,,,,,,
2015,general,delaware,DEL,16,16th District ……………,Buffalo DEL 16,147.0,55.0,17,219,,,,,,,,,,,,,,
2015,general,delaware,DEL,17,17th District ……………,Buffalo DEL 17,116.0,51.0,8,175,,,,,,,,,,,,,,
2015,general,delaware,DEL,18,18th District ……………,Buffalo DEL 18,46.0,21.0,5,72,,,,,,,,,,,,,,
2015,general,delaware,DEL,19,19th District ……………,Buffalo DEL 19,97.0,39.0,5,141,,,,,,,,,,,,,,
2015,general,delaware,DEL,20,20th District ……………,Buffalo DEL 20,75.0,51.0,6,132,,,,,,,,,,,,,,
2015,general,delaware,DEL,21,21st District ……………,Buffalo DEL 21,108.0,104.0,9,221,,,,,,,,,,,,,,
