year,election_type,district,ward,ed_num,ed_label,shapefile_key,David A Franczyk,Samuel A Herbert,Joseph A Mascia,David Howard,"Blank, Void & Scattering",TOTAL,Lamone Gibson,Ulysees O Wingo Sr,Sharon M Belton-Cottman,Yvette Suarez
2015,primary,fillmore,FIL,1,1st District ……………,Buffalo FIL 1,33.0,6.0,3.0,3.0,2,47,,,,
2015,primary,fillmore,FIL,2,2nd District ……………,Buffalo FIL 2,48.0,7.0,6.0,1.0,1,63,,,,
2015,primary,fillmore,FIL,3,3rd District ……………,Buffalo FIL 3,17.0,6.0,1.0,0.0,2,26,,,,
2015,primary,fillmore,FIL,5,5th District ……………,Buffalo FIL 5,18.0,1.0,4.0,0.0,0,23,,,,
2015,primary,fillmore,FIL,6,6th District ……………,Buffalo FIL 6,27.0,10.0,4.0,0.0,1,42,,,,
2015,primary,fillmore,FIL,8,8th District ……………,Buffalo FIL 8,73.0,20.0,75.0,0.0,1,169,,,,
2015,primary,fillmore,FIL,9,9th District ……………,Buffalo FIL 9,7.0,12.0,2.0,0.0,1,22,,,,
2015,primary,fillmore,FIL,10,10th District ……………,Buffalo FIL 10,28.0,30.0,13.0,0.0,16,87,,,,
2015,primary,fillmore,FIL,11,11th District ……………,Buffalo FIL 11,41.0,40.0,7.0,5.0,7,100,,,,
2015,primary,fillmore,FIL,12,12th District ……………,Buffalo FIL 12,48.0,3.0,7.0,0.0,2,60,,,,
2015,primary,fillmore,FIL,14,14th District ……………,Buffalo FIL 14,49.0,4.0,3.0,0.0,0,56,,,,
2015,primary,fillmore,FIL,15,15th District ……………,Buffalo FIL 15,47.0,20.0,9.0,2.0,4,82,,,,
2015,primary,fillmore,FIL,17,17th District ……………,Buffalo FIL 17,4.0,0.0,0.0,0.0,0,4,,,,
2015,primary,fillmore,FIL,19,19th District ……………,Buffalo FIL 19,26.0,8.0,1.0,16.0,4,55,,,,
2015,primary,fillmore,FIL,20,20th District ……………,Buffalo FIL 20,21.0,55.0,6.0,5.0,3,90,,,,
2015,primary,fillmore,FIL,21,21st District ……………,Buffalo FIL 21,12.0,10.0,3.0,0.0,1,26,,,,
2015,primary,fillmore,FIL,23,23rd District ……………,Buffalo FIL 23,44.0,15.0,5.0,2.0,3,69,,,,
2015,primary,fillmore,FIL,25,25th District ……………,Buffalo FIL 25,28.0,8.0,1.0,4.0,2,43,,,,
2015,primary,fillmore,FIL,29,29th District ……………,Buffalo FIL 29,27.0,38.0,5.0,0.0,3,73,,,,
2015,primary,fillmore,FIL,31,31st District ……………,Buffalo FIL 31,8.0,8.0,1.0,0.0,4,21,,,,
2015,primary,fillmore,FIL,32,32nd District ……………,Buffalo FIL 32,15.0,11.0,1.0,0.0,1,28,,,,
2015,primary,masten,MAS,1,1st District ……………,Buffalo MAS 1,,,,,4,177,12.0,84.0,76.0,1.0
2015,primary,masten,MAS,2,2nd District ……………,Buffalo MAS 2,,,,,0,20,8.0,7.0,5.0,0.0
2015,primary,masten,MAS,4,4th District ……………,Buffalo MAS 4,,,,,2,168,6.0,97.0,58.0,5.0
2015,primary,masten,MAS,5,5th District ……………,Buffalo MAS 5,,,,,3,129,18.0,54.0,43.0,11.0
2015,primary,masten,MAS,8,8th District ……………,Buffalo MAS 8,,,,,2,120,8.0,72.0,34.0,4.0
2015,primary,masten,MAS,12,12th District ……………,Buffalo MAS 12,,,,,15,205,21.0,101.0,66.0,2.0
2015,primary,masten,MAS,13,13th District ……………,Buffalo MAS 13,,,,,7,148,19.0,74.0,45.0,3.0
2015,primary,masten,MAS,14,14th District ……………,Buffalo MAS 14,,,,,11,202,18.0,95.0,77.0,1.0
2015,primary,masten,MAS,16,16th District ……………,Buffalo MAS 16,,,,,11,348,24.0,140.0,171.0,2.0
2015,primary,masten,MAS,19,19th District ……………,Buffalo MAS 19,,,,,8,157,15.0,64.0,70.0,0.0
2015,primary,masten,MAS,23,23rd District ……………,Buffalo MAS 23,,,,,5,108,9.0,52.0,41.0,1.0
2015,primary,masten,MAS,27,27th District ……………,Buffalo MAS 27,,,,,9,139,26.0,47.0,57.0,0.0
2015,primary,masten,MAS,30,30th District ……………,Buffalo MAS 30,,,,,2,111,27.0,40.0,42.0,0.0
2015,primary,masten,MAS,31,31st District ……………,Buffalo MAS 31,,,,,7,103,16.0,36.0,41.0,3.0
2015,primary,masten,MAS,33,33rd District ……………,Buffalo MAS 33,,,,,10,85,5.0,39.0,31.0,0.0
2015,primary,masten,MAS,35,35th District ……………,Buffalo MAS 35,,,,,4,202,15.0,65.0,116.0,2.0
2015,primary,masten,MAS,41,41st District ……………,Buffalo MAS 41,,,,,5,89,10.0,43.0,31.0,0.0
