year,election_type,district,ward,ed_num,ed_label,shapefile_key,Joel Feroleto,"Blank, Void, & Scattering",TOTAL,Darius G. Pridgen,Mitch Nowakowski,Raymond Brinson,Mohammed Jahangir Alam United Fillmore District,David P. Howard Choice,Sam Herbert,Bryan J. Bollman,Antionette T. Craig Lovejoy United 5,Ulysees O. Wingo,Veronica Golden,Nate Boyd,David A. Rivera,Mark T. Supples,Charley Tarr,Joseph Golombek Jr.,Christopher P. Scanlon,Rasheed N. Wyatt,Dorethea Franklin
2019,general,delaware,DEL,1,Del 001,Buffalo DEL 1,5.0,0,5,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,2,Del 002,Buffalo DEL 2,317.0,78,395,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,3,Del 003,Buffalo DEL 3,162.0,37,199,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,4,Del 004,Buffalo DEL 4,113.0,32,145,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,5,Del 005,Buffalo DEL 5,114.0,28,142,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,6,Del 006,Buffalo DEL 6,113.0,19,132,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,7,Del 007,Buffalo DEL 7,229.0,46,275,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,8,Del 008,Buffalo DEL 8,232.0,62,294,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,9,Del 009,Buffalo DEL 9,303.0,52,355,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,10,Del 010,Buffalo DEL 10,104.0,19,123,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,11,Del 011,Buffalo DEL 11,191.0,29,220,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,12,Del 012,Buffalo DEL 12,197.0,32,229,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,13,Del 013,Buffalo DEL 13,104.0,16,120,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,14,Del 014,Buffalo DEL 14,134.0,35,169,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,15,Del 015,Buffalo DEL 15,132.0,25,157,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,16,Del 016,Buffalo DEL 16,296.0,49,345,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,17,Del 017,Buffalo DEL 17,205.0,32,237,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,18,Del 018,Buffalo DEL 18,88.0,27,115,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,19,Del 019,Buffalo DEL 19,169.0,35,204,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,20,Del 020,Buffalo DEL 20,142.0,31,173,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,21,Del 021,Buffalo DEL 21,215.0,50,265,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,22,Del 022,Buffalo DEL 22,116.0,23,139,,,,,,,,,,,,,,,,,,
2019,general,delaware,DEL,23,Del 023,Buffalo DEL 23,203.0,55,258,,,,,,,,,,,,,,,,,,
