year,election_type,district,ward,ed_num,ed_label,shapefile_key,Joel P. Feroleto,Blank,Void,Scattering,TOTAL,Leah M. Halton Pope,Leah M. Halton-Pope,Michael Chapman Community 1,Mitchell P. Nowakowski,Samuel A. Herbert,Bryan J. Bollman,David K. McElroy,Zeneta B. Everhart,Murray Holman,Gina R. Davis,David A. Rivera,Joseph Golombek Jr,Christopher P. Scanlon,Rasheed N. Wyatt,Kathryn E.A. Franco
2023,general,delaware,DEL,1,Del 001,Buffalo DEL 1,13.0,1,0,0,14,,,,,,,,,,,,,,,
2023,general,delaware,DEL,2,Del 002,Buffalo DEL 2,178.0,33,0,4,215,,,,,,,,,,,,,,,
2023,general,delaware,DEL,3,Del 003,Buffalo DEL 3,253.0,74,0,6,333,,,,,,,,,,,,,,,
2023,general,delaware,DEL,4,Del 004,Buffalo DEL 4,82.0,23,0,2,107,,,,,,,,,,,,,,,
2023,general,delaware,DEL,5,Del 005,Buffalo DEL 5,110.0,25,0,0,135,,,,,,,,,,,,,,,
2023,general,delaware,DEL,6,Del 006,Buffalo DEL 6,161.0,39,0,6,206,,,,,,,,,,,,,,,
2023,general,delaware,DEL,7,Del 007,Buffalo DEL 7,229.0,50,0,3,282,,,,,,,,,,,,,,,
2023,general,delaware,DEL,8,Del 008,Buffalo DEL 8,254.0,63,0,9,326,,,,,,,,,,,,,,,
2023,general,delaware,DEL,9,Del 009,Buffalo DEL 9,291.0,48,0,9,348,,,,,,,,,,,,,,,
2023,general,delaware,DEL,10,Del 010,Buffalo DEL 10,263.0,51,0,1,315,,,,,,,,,,,,,,,
2023,general,delaware,DEL,11,Del 011,Buffalo DEL 11,141.0,26,0,4,171,,,,,,,,,,,,,,,
2023,general,delaware,DEL,12,Del 012,Buffalo DEL 12,104.0,20,0,3,127,,,,,,,,,,,,,,,
2023,general,delaware,DEL,13,Del 013,Buffalo DEL 13,96.0,19,2,1,118,,,,,,,,,,,,,,,
2023,general,delaware,DEL,14,Del 014,Buffalo DEL 14,145.0,19,0,2,166,,,,,,,,,,,,,,,
2023,general,delaware,DEL,15,Del 015,Buffalo DEL 15,98.0,24,0,2,124,,,,,,,,,,,,,,,
2023,general,delaware,DEL,16,Del 016,Buffalo DEL 16,246.0,52,0,7,305,,,,,,,,,,,,,,,
