year,election_type,district,ward,ed_num,ed_label,shapefile_key,Emin Eddie Egriu,Matt Dearing,Cedric Holloway,Leah M. Halton-Pope,Blank,Void,Scattering,TOTAL,Bryan J. Bollman,Mohammed N. Uddin,India B. Walton,Zeneta B. Everhart,Eve Shippens,Joseph Golombek Jr.,Rasheed N. Wyatt,Kathryn E A Franco
2023,primary,ellicott,ELL,1,ELL 1 (2),Buffalo ELL 1,34.0,47.0,72.0,62.0,0,0,3,218,,,,,,,,
2023,primary,ellicott,ELL,3,ELL 3,Buffalo ELL 3,15.0,24.0,32.0,48.0,1,1,0,121,,,,,,,,
2023,primary,ellicott,ELL,4,"ELL 4 (5, 6, 10)",Buffalo ELL 4,22.0,17.0,52.0,64.0,1,0,0,156,,,,,,,,
2023,primary,ellicott,ELL,7,ELL 7,Buffalo ELL 7,1.0,0.0,11.0,11.0,0,0,0,23,,,,,,,,
2023,primary,ellicott,ELL,8,ELL 8 (36),Buffalo ELL 8,2.0,15.0,17.0,23.0,0,0,1,58,,,,,,,,
2023,primary,ellicott,ELL,9,ELL 9,Buffalo ELL 9,2.0,0.0,1.0,2.0,1,1,0,7,,,,,,,,
2023,primary,ellicott,ELL,11,"ELL 11 (12, 13, 17)",Buffalo ELL 11,23.0,13.0,76.0,137.0,2,3,5,259,,,,,,,,
2023,primary,ellicott,ELL,14,ELL 14,Buffalo ELL 14,7.0,4.0,29.0,49.0,0,2,2,93,,,,,,,,
2023,primary,ellicott,ELL,15,ELL 15,Buffalo ELL 15,10.0,2.0,2.0,12.0,0,0,0,26,,,,,,,,
2023,primary,ellicott,ELL,16,ELL 16 (24),Buffalo ELL 16,12.0,1.0,22.0,44.0,0,1,3,83,,,,,,,,
2023,primary,ellicott,ELL,18,ELL 18,Buffalo ELL 18,5.0,5.0,6.0,13.0,0,0,1,30,,,,,,,,
2023,primary,ellicott,ELL,19,ELL 19 (20),Buffalo ELL 19,11.0,4.0,47.0,75.0,1,2,2,142,,,,,,,,
2023,primary,ellicott,ELL,21,ELL 21,Buffalo ELL 21,8.0,4.0,12.0,49.0,0,0,0,73,,,,,,,,
2023,primary,ellicott,ELL,22,ELL 22 (23),Buffalo ELL 22,6.0,6.0,34.0,68.0,0,2,1,117,,,,,,,,
2023,primary,ellicott,ELL,25,ELL 25 (26),Buffalo ELL 25,6.0,8.0,39.0,70.0,0,0,2,125,,,,,,,,
2023,primary,ellicott,ELL,27,ELL 27,Buffalo ELL 27,3.0,0.0,17.0,33.0,2,0,0,55,,,,,,,,
2023,primary,ellicott,ELL,28,ELL 28 (32),Buffalo ELL 28,4.0,3.0,24.0,52.0,0,0,1,84,,,,,,,,
2023,primary,ellicott,ELL,29,"ELL 29 (30, 31)",Buffalo ELL 29,11.0,11.0,74.0,126.0,0,4,1,227,,,,,,,,
2023,primary,ellicott,ELL,33,ELL 33,Buffalo ELL 33,21.0,96.0,51.0,80.0,0,0,0,248,,,,,,,,
2023,primary,ellicott,ELL,34,ELL 34,Buffalo ELL 34,14.0,86.0,31.0,79.0,0,0,1,211,,,,,,,,
2023,primary,ellicott,ELL,35,ELL 35,Buffalo ELL 35,12.0,65.0,12.0,36.0,0,1,0,126,,,,,,,,
2023,primary,lovejoy,LOV,1,"LOV 1 (2, 3)",Buffalo LOV 1,,,,,0,0,0,98,46.0,52.0,,,,,,
2023,primary,lovejoy,LOV,4,LOV 4 (5),Buffalo LOV 4,,,,,0,3,0,115,80.0,32.0,,,,,,
2023,primary,lovejoy,LOV,6,"LOV 6 (7, 8, 9, 10, 33)",Buffalo LOV 6,,,,,0,2,2,247,131.0,112.0,,,,,,
2023,primary,lovejoy,LOV,11,"LOV 11 (12, 13, 14)",Buffalo LOV 11,,,,,1,2,0,332,204.0,125.0,,,,,,
2023,primary,lovejoy,LOV,15,"LOV 15 (16, 17, 18, 19, 34)",Buffalo LOV 15,,,,,0,2,0,245,165.0,78.0,,,,,,
