year,election_type,district,ward,ed_num,ed_label,shapefile_key,Julie Propis Penman,Marc A. Coppola,"Blank, Void & Scattering",TOTAL,Brian C. Davis,David A. Franczyk,Anthony Pendergrass,Patsy J. Bevelock Jr.,Richard A. Fontana,Ricky T. Donovan Sr.,Antoine M. Thompson,Dominic J. Bonifacio Jr.,Dominic J. Bonifacio Jr. Consevative,Joseph Golombek Jr.,Genevieve M. Kenyon,James D. Griffin,Mary M. Martino,Bonnie E. Russell,Donald Turk Barnes,Charley H. Fisher III,Ronald H. Fleming,Clarence D. Dent,Robert M. Okoniewski,Louis D. Turchiarelli,Betty Jean Grant,Michael J. LoCurto,Bryon J. McIntyre,Demone A. Smith,David A. Rivera,Sergio R. Rodriguez,Peter J. Savage III,Sergio R. Rodriguez Taxpayers First,Eric M. Jones,Joseph Golombek Jr,Michael P. Kearns,Jessica Maglietto,Samuel A. Herbert,Melissa R. H. Brown,Terrence A. Robinson,Dwayne A. Ferguson,Darius G. Pridgen,Richard A .Fontana,DeMario J. Badger,Kenneth J. Phillips,Pamela D. Cahill,Rochelle A. Ricchiazzi,Joel Feroleto,Peter A. Rouff,Terrance L. Heard 1 Ellicott,David P. Howard,Ulysees O. Wingo Sr,Michael A. Woolford,Yvette Suarez,Charley Tarr,Christopher P. Scanlon,Rasheed N.C. Wyatt,David A Franczyk,Samuel A Herbert,Joseph A Mascia,David Howard,Lamone Gibson,Ulysees O Wingo Sr,Sharon M Belton-Cottman,"Blank, Void, & Scattering",Mitch Nowakowski,Raymond Brinson,Mohammed Jahangir Alam United Fillmore District,David P. Howard Choice,Sam Herbert,Bryan J. Bollman,Antionette T. Craig Lovejoy United 5,Ulysees O. Wingo,Veronica Golden,Nate Boyd,Mark T. Supples,Rasheed N. Wyatt,Dorethea Franklin,Gerhardt J. Yaskow,Tina Sanders,Pharoah V. Paige,Total,Esther Smothers,Nathan L. Boyd,Jennifer L. Strickland,Kathryn E. A. Franco,Joel P. Feroleto,Blank,Void,Scattering,Leah M. Halton Pope,Leah M. Halton-Pope,Michael Chapman Community 1,Mitchell P. Nowakowski,David K. McElroy,Zeneta B. Everhart,Murray Holman,Gina R. Davis,Kathryn E.A. Franco,Emin Eddie Egriu,Matt Dearing,Cedric Holloway,Mohammed N. Uddin,India B. Walton,Eve Shippens,Kathryn E A Franco
2003,general,delaware,DEL,1,1st District ……………,Buffalo DEL 1,77.0,158.0,31.0,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,2,2nd District ……………,Buffalo DEL 2,62.0,266.0,30.0,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,3,3rd District ……………,Buffalo DEL 3,44.0,141.0,27.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,4,4th District ……………,Buffalo DEL 4,74.0,214.0,21.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,5,5th District ……………,Buffalo DEL 5,109.0,88.0,13.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,6,6th District ……………,Buffalo DEL 6,71.0,262.0,18.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,7,7th District ……………,Buffalo DEL 7,65.0,129.0,17.0,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,8,8th District ……………,Buffalo DEL 8,162.0,192.0,22.0,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,9,9th District ……………,Buffalo DEL 9,94.0,126.0,18.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,general,delaware,DEL,10,10th District ……………,Buffalo DEL 10,65.0,184.0,19.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
