year,race_type,race_label,dem_candidate,rep_candidate,nbhdname,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct
2002,congress,CD-27,Peter Crotty,Jack Quinn,Allentown,9,17,2.0,28.0,32.14,60.71
2002,congress,CD-27,Peter Crotty,Jack Quinn,Black Rock,241,386,32.0,659.0,36.57,58.57
2002,congress,CD-27,Peter Crotty,Jack Quinn,Broadway Fillmore,158,153,14.0,325.0,48.62,47.08
2002,congress,CD-27,Peter Crotty,Jack Quinn,Central,27,36,2.0,65.0,41.54,55.38
2002,congress,CD-27,Peter Crotty,Jack Quinn,Central Park,2789,9110,393.0,12292.0,22.69,74.11
2002,congress,CD-27,Peter Crotty,Jack Quinn,Ellicott,69,31,1.0,101.0,68.32,30.69
2002,congress,CD-27,Peter Crotty,Jack Quinn,Elmwood Bidwell,548,699,96.0,1343.0,40.8,52.05
2002,congress,CD-27,Peter Crotty,Jack Quinn,Elmwood Bryant,275,192,39.0,506.0,54.35,37.94
2002,congress,CD-27,Peter Crotty,Jack Quinn,First Ward,80,109,8.0,197.0,40.61,55.33
2002,congress,CD-27,Peter Crotty,Jack Quinn,Genesee-Moselle,256,435,22.0,713.0,35.9,61.01
2002,congress,CD-27,Peter Crotty,Jack Quinn,Grant-Amherst,128,201,15.0,344.0,37.21,58.43
2002,congress,CD-27,Peter Crotty,Jack Quinn,Hopkins-Tifft,332,704,29.0,1065.0,31.17,66.1
2002,congress,CD-27,Peter Crotty,Jack Quinn,Kaisertown,195,402,24.0,621.0,31.4,64.73
2002,congress,CD-27,Peter Crotty,Jack Quinn,Kenfield,2369,7501,369.0,10239.0,23.14,73.26
2002,congress,CD-27,Peter Crotty,Jack Quinn,Kensington-Bailey,3936,11827,509.0,16272.0,24.19,72.68
2002,congress,CD-27,Peter Crotty,Jack Quinn,Lovejoy,261,448,33.0,742.0,35.18,60.38
2002,congress,CD-27,Peter Crotty,Jack Quinn,Lower West Side,74,55,24.0,153.0,48.37,35.95
2002,congress,CD-27,Peter Crotty,Jack Quinn,MLK Park,56,75,4.0,135.0,41.48,55.56
2002,congress,CD-27,Peter Crotty,Jack Quinn,Masten Park,75,72,9.0,156.0,48.08,46.15
2002,congress,CD-27,Peter Crotty,Jack Quinn,North Park,1243,1725,167.0,3135.0,39.65,55.02
2002,congress,CD-27,Peter Crotty,Jack Quinn,Parkside,560,756,75.0,1391.0,40.26,54.35
2002,congress,CD-27,Peter Crotty,Jack Quinn,Riverside,627,878,71.0,1576.0,39.78,55.71
2002,congress,CD-27,Peter Crotty,Jack Quinn,Schiller Park,303,595,40.0,938.0,32.3,63.43
2002,congress,CD-27,Peter Crotty,Jack Quinn,Seneca-Cazenovia,514,1130,39.0,1683.0,30.54,67.14
2002,congress,CD-27,Peter Crotty,Jack Quinn,South Park,1004,2284,90.0,3378.0,29.72,67.61
2002,congress,CD-27,Peter Crotty,Jack Quinn,University Heights,5188,15819,724.0,21731.0,23.87,72.79
2002,congress,CD-27,Peter Crotty,Jack Quinn,Upper West Side,521,466,106.0,1093.0,47.67,42.63
2002,congress,CD-27,Peter Crotty,Jack Quinn,West Hertel,424,651,75.0,1150.0,36.87,56.61
2002,congress,CD-27,Peter Crotty,Jack Quinn,West Side,600,681,97.0,1378.0,43.54,49.42
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Allentown,129,33,3.0,165.0,78.18,20.0
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Black Rock,799,355,53.0,1207.0,66.2,29.41
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Broadway Fillmore,2018,293,47.0,2358.0,85.58,12.43
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Central,308,88,14.0,410.0,75.12,21.46
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Central Park,15439,15792,667.0,31898.0,48.4,49.51
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Delavan Grider,1317,79,38.0,1434.0,91.84,5.51
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Ellicott,474,97,13.0,584.0,81.16,16.61
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Elmwood Bidwell,2189,773,114.0,3076.0,71.16,25.13
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Elmwood Bryant,1795,441,62.0,2298.0,78.11,19.19
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Fillmore-Leroy,1341,98,60.0,1499.0,89.46,6.54
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,First Ward,900,262,20.0,1182.0,76.14,22.17
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Fruit Belt,659,112,31.0,802.0,82.17,13.97
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Genesee-Moselle,1055,440,46.0,1541.0,68.46,28.55
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Grant-Amherst,444,218,22.0,684.0,64.91,31.87
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Hamlin Park,699,63,29.0,791.0,88.37,7.96
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Hopkins-Tifft,1093,608,49.0,1750.0,62.46,34.74
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Kaisertown,805,374,26.0,1205.0,66.8,31.04
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Kenfield,14939,14563,700.0,30202.0,49.46,48.22
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Kensington-Bailey,26232,24433,1115.0,51780.0,50.66,47.19
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Lovejoy,1395,516,70.0,1981.0,70.42,26.05
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Lower West Side,356,142,18.0,516.0,68.99,27.52
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,MLK Park,935,127,41.0,1103.0,84.77,11.51
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Masten Park,3160,302,89.0,3551.0,88.99,8.5
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,North Park,4353,1651,227.0,6231.0,69.86,26.5
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Parkside,1856,700,92.0,2648.0,70.09,26.44
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Pratt-Willert,1141,70,49.0,1260.0,90.56,5.56
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Riverside,1811,864,93.0,2768.0,65.43,31.21
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Schiller Park,1233,560,63.0,1856.0,66.43,30.17
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Seneca Babcock,598,82,27.0,707.0,84.58,11.6
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Seneca-Cazenovia,1760,926,90.0,2776.0,63.4,33.36
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,South Park,3177,1685,144.0,5006.0,63.46,33.66
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,University Heights,30989,29551,1418.0,61958.0,50.02,47.7
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,Upper West Side,2085,499,141.0,2725.0,76.51,18.31
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,West Hertel,1248,566,73.0,1887.0,66.14,29.99
2004,president,President,John F. Kerry John Edwards,George W. Bush Dick Cheney,West Side,2041,695,125.0,2861.0,71.34,24.29
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Allentown,34,7,0.0,41.0,82.93,17.07
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Black Rock,718,396,0.0,1114.0,64.45,35.55
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Broadway Fillmore,425,151,0.0,576.0,73.78,26.22
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Central,64,22,0.0,86.0,74.42,25.58
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Central Park,8541,11020,0.0,19561.0,43.66,56.34
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Ellicott,292,62,0.0,354.0,82.49,17.51
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Elmwood Bidwell,1336,675,0.0,2011.0,66.43,33.57
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Elmwood Bryant,528,147,0.0,675.0,78.22,21.78
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,First Ward,366,210,0.0,576.0,63.54,36.46
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Genesee-Moselle,714,417,0.0,1131.0,63.13,36.87
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Grant-Amherst,397,228,0.0,625.0,63.52,36.48
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Hopkins-Tifft,1061,435,0.0,1496.0,70.92,29.08
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Kaisertown,569,401,0.0,970.0,58.66,41.34
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Kenfield,7012,9034,0.0,16046.0,43.7,56.3
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Kensington-Bailey,12847,14069,0.0,26916.0,47.73,52.27
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Lovejoy,648,419,0.0,1067.0,60.73,39.27
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Lower West Side,212,111,0.0,323.0,65.63,34.37
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,MLK Park,231,46,0.0,277.0,83.39,16.61
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Masten Park,221,77,0.0,298.0,74.16,25.84
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,North Park,3397,1721,0.0,5118.0,66.37,33.63
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Parkside,1463,715,0.0,2178.0,67.17,32.83
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Riverside,1597,971,0.0,2568.0,62.19,37.81
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Schiller Park,902,597,0.0,1499.0,60.17,39.83
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Seneca-Cazenovia,1915,818,0.0,2733.0,70.07,29.93
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,South Park,3430,1403,0.0,4833.0,70.97,29.03
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,University Heights,16043,19438,0.0,35481.0,45.22,54.78
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,Upper West Side,1694,479,0.0,2173.0,77.96,22.04
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,West Hertel,1125,644,0.0,1769.0,63.6,36.4
2004,congress,CD-27,Brian M. Higgins,Nancy A. Naples,West Side,1877,748,0.0,2625.0,71.5,28.5
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Allentown,84,8,1.0,93.0,90.32,8.6
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Broadway Fillmore,1147,56,28.0,1231.0,93.18,4.55
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Central,205,24,8.0,237.0,86.5,10.13
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Central Park,2700,1144,125.0,3969.0,68.03,28.82
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Delavan Grider,967,46,22.0,1035.0,93.43,4.44
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Ellicott,123,6,5.0,134.0,91.79,4.48
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Elmwood Bidwell,613,142,22.0,777.0,78.89,18.28
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Elmwood Bryant,978,215,40.0,1233.0,79.32,17.44
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Fillmore-Leroy,1015,33,42.0,1090.0,93.12,3.03
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,First Ward,397,32,6.0,435.0,91.26,7.36
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Fruit Belt,539,65,14.0,618.0,87.22,10.52
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Genesee-Moselle,238,6,3.0,247.0,96.36,2.43
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Hamlin Park,512,31,12.0,555.0,92.25,5.59
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Hopkins-Tifft,136,12,3.0,151.0,90.07,7.95
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Kaisertown,131,16,2.0,149.0,87.92,10.74
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Kenfield,3365,1321,160.0,4846.0,69.44,27.26
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Kensington-Bailey,6193,2490,287.0,8970.0,69.04,27.76
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Lovejoy,535,64,15.0,614.0,87.13,10.42
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Lower West Side,112,23,2.0,137.0,81.75,16.79
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,MLK Park,537,35,9.0,581.0,92.43,6.02
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Masten Park,2208,80,56.0,2344.0,94.2,3.41
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,North Park,508,100,23.0,631.0,80.51,15.85
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Parkside,199,67,7.0,273.0,72.89,24.54
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Pratt-Willert,846,30,34.0,910.0,92.97,3.3
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Schiller Park,197,15,8.0,220.0,89.55,6.82
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Seneca Babcock,478,30,15.0,523.0,91.4,5.74
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,University Heights,7162,3019,347.0,10528.0,68.03,28.68
2004,congress,CD-28,Louise M. Slaughter,Michael D. Laba,Upper West Side,281,55,8.0,344.0,81.69,15.99
2006,senate,US Senate,Hillary Rodham Clinton,John Spencer,Allentown,69,15,0.0,84.0,82.14,17.86
