year,election_type,ward,ed_num,ed_label,shapefile_key,Anthony M. Masiello,Judith Einach Write In,"Blank, Void & Scattering",TOTAL
2001,general,DEL,1,1st District ……………,Buffalo DEL 1,8,0,0,8
2001,general,DEL,2,2nd District ……………,Buffalo DEL 2,235,0,50,285
2001,general,DEL,3,3rd District ……………,Buffalo DEL 3,140,2,32,174
2001,general,DEL,4,4th District ……………,Buffalo DEL 4,209,1,57,267
2001,general,DEL,5,5th District ……………,Buffalo DEL 5,257,11,66,334
2001,general,DEL,6,6th District ……………,Buffalo DEL 6,217,2,56,275
2001,general,DEL,7,7th District ……………,Buffalo DEL 7,26,1,9,36
2001,general,DEL,8,8th District ……………,Buffalo DEL 8,289,1,70,360
2001,general,DEL,9,9th District ……………,Buffalo DEL 9,220,0,70,290
2001,general,DEL,10,10th District ……………,Buffalo DEL 10,130,4,59,193
2001,general,DEL,11,11th District ……………,Buffalo DEL 11,21,0,9,30
2001,general,DEL,12,12th District ……………,Buffalo DEL 12,190,5,70,265
2001,general,DEL,13,13th District ……………,Buffalo DEL 13,125,6,52,183
2001,general,DEL,14,14th District ……………,Buffalo DEL 14,50,3,20,73
2001,general,DEL,15,15th District ……………,Buffalo DEL 15,57,3,9,69
2001,general,DEL,16,16th District ……………,Buffalo DEL 16,155,5,46,206
2001,general,DEL,17,17th District ……………,Buffalo DEL 17,22,0,1,23
2001,general,DEL,18,18th District ……………,Buffalo DEL 18,104,0,24,128
2001,general,DEL,19,19th District ……………,Buffalo DEL 19,287,5,56,348
2001,general,DEL,20,20th District ……………,Buffalo DEL 20,143,12,53,208
2001,general,DEL,21,21st District ……………,Buffalo DEL 21,156,2,32,190
2001,general,DEL,22,22nd District ……………,Buffalo DEL 22,118,4,44,166
2001,general,DEL,23,23rd District ……………,Buffalo DEL 23,149,0,38,187
2001,general,DEL,24,24th District ……………,Buffalo DEL 24,123,0,56,179
2001,general,DEL,25,25th District ……………,Buffalo DEL 25,191,6,46,243
2001,general,DEL,26,26th District ……………,Buffalo DEL 26,305,19,102,426
