year,election_type,ward,ed_num,ed_label,shapefile_key,Beverly A. Gray,Anthony M. Masiello,"Blank, Void & Scattering",TOTAL
2001,primary,DEL,1,1st District ..........,Buffalo DEL 1,1,5,0,6
2001,primary,DEL,2,2nd District ..........,Buffalo DEL 2,21,140,13,174
2001,primary,DEL,3,3rd District ..........,Buffalo DEL 3,16,88,10,114
2001,primary,DEL,4,4th District ..........,Buffalo DEL 4,8,92,17,117
2001,primary,DEL,5,5th District ..........,Buffalo DEL 5,25,103,17,145
2001,primary,DEL,6,6th District ..........,Buffalo DEL 6,27,123,17,167
2001,primary,DEL,7,7th District ..........,Buffalo DEL 7,4,11,2,17
2001,primary,DEL,8,8th District ..........,Buffalo DEL 8,15,112,8,135
2001,primary,DEL,9,9th District ..........,Buffalo DEL 9,21,122,12,155
2001,primary,DEL,10,10th District ..........,Buffalo DEL 10,17,54,20,91
2001,primary,DEL,11,11th District ..........,Buffalo DEL 11,5,12,0,17
2001,primary,DEL,12,12th District ..........,Buffalo DEL 12,31,102,18,151
2001,primary,DEL,13,13th District ..........,Buffalo DEL 13,17,63,7,87
2001,primary,DEL,14,14th District ..........,Buffalo DEL 14,11,20,5,36
2001,primary,DEL,15,15th District ..........,Buffalo DEL 15,13,25,3,41
2001,primary,DEL,16,16th District ..........,Buffalo DEL 16,25,71,9,105
2001,primary,DEL,17,17th District ..........,Buffalo DEL 17,3,8,1,12
2001,primary,DEL,18,18th District ..........,Buffalo DEL 18,29,61,14,104
2001,primary,DEL,19,19th District ..........,Buffalo DEL 19,12,114,20,146
2001,primary,DEL,20,20th District ..........,Buffalo DEL 20,15,74,13,102
2001,primary,DEL,21,21st District ..........,Buffalo DEL 21,11,95,11,117
2001,primary,DEL,22,22nd District ..........,Buffalo DEL 22,23,65,8,96
2001,primary,DEL,23,23rd District ..........,Buffalo DEL 23,18,71,8,97
2001,primary,DEL,24,24th District ..........,Buffalo DEL 24,15,70,7,92
2001,primary,DEL,25,25th District ..........,Buffalo DEL 25,28,81,10,119
2001,primary,DEL,26,26th District ..........,Buffalo DEL 26,33,188,28,249
2001,primary,DEL,27,27th District ..........,Buffalo DEL 27,21,100,18,139
2001,primary,DEL,28,28th District ..........,Buffalo DEL 28,19,54,14,87
2001,primary,DEL,29,29th District ..........,Buffalo DEL 29,27,106,10,143
2001,primary,DEL,30,30th District ..........,Buffalo DEL 30,24,99,18,141
2001,primary,DEL,31,31st District ..........,Buffalo DEL 31,8,60,8,76
2001,primary,DEL,32,32nd District ..........,Buffalo DEL 32,0,6,0,6
2001,primary,DEL,33,33rd District ..........,Buffalo DEL 33,13,89,8,110
2001,primary,DEL,34,34th District ..........,Buffalo DEL 34,13,97,16,126
2001,primary,DEL,35,35th District ..........,Buffalo DEL 35,8,38,3,49
2001,primary,DEL,36,36th District ..........,Buffalo DEL 36,25,108,26,159
2001,primary,DEL,37,37th District ..........,Buffalo DEL 37,15,60,17,92
2001,primary,DEL,38,38th District ..........,Buffalo DEL 38,38,44,5,87
2001,primary,DEL,39,39th District ..........,Buffalo DEL 39,18,39,3,60
2001,primary,DEL,40,40th District ..........,Buffalo DEL 40,12,30,4,46
2001,primary,DEL,41,41st District ..........,Buffalo DEL 41,9,64,6,79
2001,primary,DEL,42,42nd District ..........,Buffalo DEL 42,14,49,8,71
2001,primary,DEL,43,43rd District ..........,Buffalo DEL 43,10,85,21,116
2001,primary,DEL,44,44th District ..........,Buffalo DEL 44,1,9,0,10
2001,primary,DEL,45,45th District ..........,Buffalo DEL 45,18,121,19,158
2001,primary,ELL,1,1st District ..........,Buffalo ELL 1,35,36,5,76
2001,primary,ELL,2,2nd District ..........,Buffalo ELL 2,41,31,9,81
2001,primary,ELL,3,3rd District ..........,Buffalo ELL 3,55,51,8,114
2001,primary,ELL,4,4th District ..........,Buffalo ELL 4,33,32,4,69
2001,primary,ELL,5,5th District ..........,Buffalo ELL 5,14,49,8,71
2001,primary,ELL,6,6th District ..........,Buffalo ELL 6,40,65,11,116
2001,primary,ELL,7,7th District ..........,Buffalo ELL 7,9,50,9,68
2001,primary,ELL,8,8th District ..........,Buffalo ELL 8,17,75,17,109
2001,primary,ELL,9,9th District ..........,Buffalo ELL 9,3,2,3,8
2001,primary,ELL,10,10th District ..........,Buffalo ELL 10,9,54,7,70
2001,primary,ELL,11,11th District ..........,Buffalo ELL 11,9,57,10,76
2001,primary,ELL,12,12th District ..........,Buffalo ELL 12,5,17,2,24
2001,primary,ELL,13,13th District ..........,Buffalo ELL 13,24,17,35,76
2001,primary,ELL,14,14th District ..........,Buffalo ELL 14,37,52,11,100
2001,primary,ELL,15,15th District ..........,Buffalo ELL 15,94,89,20,203
2001,primary,ELL,16,16th District ..........,Buffalo ELL 16,49,132,23,204
2001,primary,ELL,17,17th District ..........,Buffalo ELL 17,23,58,9,90
2001,primary,ELL,18,18th District ..........,Buffalo ELL 18,82,124,44,250
2001,primary,ELL,19,19th District ..........,Buffalo ELL 19,1,4,1,6
2001,primary,ELL,20,20th District ..........,Buffalo ELL 20,42,61,9,112
2001,primary,ELL,21,21st District ..........,Buffalo ELL 21,3,9,2,14
2001,primary,ELL,22,22nd District ..........,Buffalo ELL 22,3,16,1,20
2001,primary,ELL,23,23rd District ..........,Buffalo ELL 23,35,31,15,81
2001,primary,ELL,24,24th District ..........,Buffalo ELL 24,59,69,24,152
2001,primary,ELL,25,25th District ..........,Buffalo ELL 25,80,72,15,167
2001,primary,ELL,26,26th District ..........,Buffalo ELL 26,0,0,0,0
2001,primary,ELL,27,27th District ..........,Buffalo ELL 27,21,14,2,37
2001,primary,ELL,28,28th District ..........,Buffalo ELL 28,30,55,4,89
2001,primary,ELL,29,29th District ..........,Buffalo ELL 29,86,75,15,176
2001,primary,ELL,30,30th District ..........,Buffalo ELL 30,52,66,6,124
2001,primary,ELL,31,31st District ..........,Buffalo ELL 31,21,27,11,59
2001,primary,ELL,32,32nd District ..........,Buffalo ELL 32,39,29,8,76
2001,primary,ELL,33,33rd District ..........,Buffalo ELL 33,60,76,14,150
2001,primary,ELL,34,34th District ..........,Buffalo ELL 34,24,46,8,78
2001,primary,ELL,35,35th District ..........,Buffalo ELL 35,12,53,5,70
2001,primary,ELL,36,36th District ..........,Buffalo ELL 36,4,17,2,23
2001,primary,ELL,37,37th District ..........,Buffalo ELL 37,22,28,5,55
2001,primary,ELL,38,38th District ..........,Buffalo ELL 38,43,62,14,119
2001,primary,ELL,39,39th District ..........,Buffalo ELL 39,65,75,19,159
2001,primary,ELL,40,40th District ..........,Buffalo ELL 40,48,70,14,132
2001,primary,ELL,41,41st District ..........,Buffalo ELL 41,14,38,8,60
2001,primary,ELL,42,42nd District ..........,Buffalo ELL 42,7,48,13,68
2001,primary,FIL,1,1st District ..........,Buffalo FIL 1,12,53,11,76
2001,primary,FIL,2,2nd District ..........,Buffalo FIL 2,2,7,0,9
2001,primary,FIL,3,3rd District ..........,Buffalo FIL 3,9,48,9,66
2001,primary,FIL,4,4th District ..........,Buffalo FIL 4,14,62,19,95
2001,primary,FIL,5,5th District ..........,Buffalo FIL 5,11,36,9,56
2001,primary,FIL,6,6th District ..........,Buffalo FIL 6,13,43,11,67
2001,primary,FIL,7,7th District ..........,Buffalo FIL 7,10,44,6,60
2001,primary,FIL,8,8th District ..........,Buffalo FIL 8,9,21,3,33
2001,primary,FIL,9,9th District ..........,Buffalo FIL 9,10,50,11,71
2001,primary,FIL,10,10th District ..........,Buffalo FIL 10,10,22,4,36
2001,primary,FIL,11,11th District ..........,Buffalo FIL 11,0,0,0,0
2001,primary,FIL,12,12th District ..........,Buffalo FIL 12,15,60,7,82
2001,primary,FIL,13,13th District ..........,Buffalo FIL 13,20,34,10,64
2001,primary,FIL,14,14th District ..........,Buffalo FIL 14,12,20,2,34
2001,primary,FIL,15,15th District ..........,Buffalo FIL 15,0,0,0,0
2001,primary,FIL,16,16th District ..........,Buffalo FIL 16,13,13,2,28
2001,primary,FIL,17,17th District ..........,Buffalo FIL 17,16,82,13,111
2001,primary,FIL,18,18th District ..........,Buffalo FIL 18,16,42,14,72
2001,primary,FIL,19,19th District ..........,Buffalo FIL 19,22,47,17,86
2001,primary,FIL,20,20th District ..........,Buffalo FIL 20,28,26,16,70
2001,primary,FIL,21,21st District ..........,Buffalo FIL 21,3,23,10,36
2001,primary,FIL,22,22nd District ..........,Buffalo FIL 22,7,28,9,44
2001,primary,FIL,23,23rd District ..........,Buffalo FIL 23,12,34,4,50
2001,primary,FIL,24,24th District ..........,Buffalo FIL 24,11,93,20,124
2001,primary,FIL,25,25th District ..........,Buffalo FIL 25,37,65,8,110
2001,primary,FIL,26,26th District ..........,Buffalo FIL 26,6,12,6,24
2001,primary,FIL,27,27th District ..........,Buffalo FIL 27,35,75,10,120
2001,primary,FIL,28,28th District ..........,Buffalo FIL 28,0,0,0,0
2001,primary,FIL,29,29th District ..........,Buffalo FIL 29,0,2,1,3
2001,primary,FIL,30,30th District ..........,Buffalo FIL 30,1,10,1,12
2001,primary,FIL,31,31st District ..........,Buffalo FIL 31,2,40,11,53
2001,primary,FIL,32,32nd District ..........,Buffalo FIL 32,13,38,6,57
2001,primary,FIL,33,33rd District ..........,Buffalo FIL 33,0,4,2,6
2001,primary,FIL,34,34th District ..........,Buffalo FIL 34,26,54,10,90
2001,primary,FIL,35,35th District ..........,Buffalo FIL 35,14,9,2,25
2001,primary,FIL,36,36th District ..........,Buffalo FIL 36,43,47,8,98
2001,primary,FIL,37,37th District ..........,Buffalo FIL 37,13,88,33,134
2001,primary,FIL,38,38th District ..........,Buffalo FIL 38,58,48,9,115
2001,primary,FIL,39,39th District ..........,Buffalo FIL 39,33,42,9,84
2001,primary,FIL,40,40th District ..........,Buffalo FIL 40,4,40,10,54
2001,primary,FIL,41,41st District ..........,Buffalo FIL 41,10,61,16,87
2001,primary,LOV,1,1st District ..........,Buffalo LOV 1,1,13,1,15
2001,primary,LOV,2,2nd District ..........,Buffalo LOV 2,11,136,23,170
2001,primary,LOV,3,3rd District ..........,Buffalo LOV 3,10,128,19,157
2001,primary,LOV,4,4th District ..........,Buffalo LOV 4,38,47,4,89
2001,primary,LOV,5,5th District ..........,Buffalo LOV 5,8,41,4,53
2001,primary,LOV,6,6th District ..........,Buffalo LOV 6,12,70,18,100
2001,primary,LOV,7,7th District ..........,Buffalo LOV 7,6,82,10,98
2001,primary,LOV,8,8th District ..........,Buffalo LOV 8,12,128,18,158
2001,primary,LOV,9,9th District ..........,Buffalo LOV 9,21,109,13,143
2001,primary,LOV,10,10th District ..........,Buffalo LOV 10,17,34,2,53
2001,primary,LOV,11,11th District ..........,Buffalo LOV 11,13,133,22,168
2001,primary,LOV,12,12th District ..........,Buffalo LOV 12,0,54,12,66
2001,primary,LOV,13,13th District ..........,Buffalo LOV 13,7,66,12,85
2001,primary,LOV,14,14th District ..........,Buffalo LOV 14,42,57,7,106
2001,primary,LOV,15,15th District ..........,Buffalo LOV 15,20,116,16,152
2001,primary,LOV,16,16th District ..........,Buffalo LOV 16,16,44,2,62
2001,primary,LOV,17,17th District ..........,Buffalo LOV 17,49,59,7,115
2001,primary,LOV,18,18th District ..........,Buffalo LOV 18,4,20,11,35
2001,primary,LOV,19,19th District ..........,Buffalo LOV 19,9,47,11,67
2001,primary,LOV,20,20th District ..........,Buffalo LOV 20,26,23,2,51
2001,primary,LOV,21,21st District ..........,Buffalo LOV 21,21,36,4,61
2001,primary,LOV,22,22nd District ..........,Buffalo LOV 22,17,106,20,143
2001,primary,LOV,23,23rd District ..........,Buffalo LOV 23,63,87,7,157
2001,primary,LOV,24,24th District ..........,Buffalo LOV 24,16,65,7,88
2001,primary,LOV,25,25th District ..........,Buffalo LOV 25,2,12,4,18
2001,primary,LOV,26,26th District ..........,Buffalo LOV 26,27,26,9,62
2001,primary,LOV,27,27th District ..........,Buffalo LOV 27,36,96,10,142
2001,primary,LOV,28,28th District ..........,Buffalo LOV 28,26,119,22,167
2001,primary,LOV,29,29th District ..........,Buffalo LOV 29,27,45,11,83
2001,primary,LOV,30,30th District ..........,Buffalo LOV 30,33,43,4,80
2001,primary,LOV,31,31st District ..........,Buffalo LOV 31,30,52,9,91
2001,primary,LOV,32,32nd District ..........,Buffalo LOV 32,18,43,10,71
2001,primary,LOV,33,33rd District ..........,Buffalo LOV 33,21,60,4,85
2001,primary,MAS,1,1st District ..........,Buffalo MAS 1,68,107,11,186
2001,primary,MAS,2,2nd District ..........,Buffalo MAS 2,44,48,14,106
2001,primary,MAS,3,3rd District ..........,Buffalo MAS 3,69,58,9,136
2001,primary,MAS,4,4th District ..........,Buffalo MAS 4,40,66,19,125
2001,primary,MAS,5,5th District ..........,Buffalo MAS 5,38,47,15,100
2001,primary,MAS,6,6th District ..........,Buffalo MAS 6,25,22,7,54
2001,primary,MAS,7,7th District ..........,Buffalo MAS 7,43,43,16,102
2001,primary,MAS,8,8th District ..........,Buffalo MAS 8,15,25,2,42
2001,primary,MAS,9,9th District ..........,Buffalo MAS 9,84,60,14,158
2001,primary,MAS,10,10th District ..........,Buffalo MAS 10,25,21,11,57
2001,primary,MAS,11,11th District ..........,Buffalo MAS 11,23,39,8,70
2001,primary,MAS,12,12th District ..........,Buffalo MAS 12,33,47,10,90
2001,primary,MAS,13,13th District ..........,Buffalo MAS 13,59,40,14,113
2001,primary,MAS,14,14th District ..........,Buffalo MAS 14,58,69,11,138
2001,primary,MAS,15,15th District ..........,Buffalo MAS 15,39,37,7,83
2001,primary,MAS,16,16th District ..........,Buffalo MAS 16,57,56,10,123
2001,primary,MAS,17,17th District ..........,Buffalo MAS 17,53,90,14,157
2001,primary,MAS,18,18th District ..........,Buffalo MAS 18,69,61,15,145
2001,primary,MAS,19,19th District ..........,Buffalo MAS 19,60,51,12,123
2001,primary,MAS,20,20th District ..........,Buffalo MAS 20,63,47,22,132
2001,primary,MAS,21,21st District ..........,Buffalo MAS 21,44,53,8,105
2001,primary,MAS,22,22nd District ..........,Buffalo MAS 22,34,37,11,82
2001,primary,MAS,23,23rd District ..........,Buffalo MAS 23,41,40,8,89
2001,primary,MAS,24,24th District ..........,Buffalo MAS 24,38,36,5,79
2001,primary,MAS,25,25th District ..........,Buffalo MAS 25,41,52,10,103
2001,primary,MAS,26,26th District ..........,Buffalo MAS 26,71,76,13,160
2001,primary,MAS,27,27th District ..........,Buffalo MAS 27,80,70,9,159
2001,primary,MAS,28,28th District ..........,Buffalo MAS 28,58,70,14,142
2001,primary,MAS,29,29th District ..........,Buffalo MAS 29,31,52,10,93
2001,primary,MAS,30,30th District ..........,Buffalo MAS 30,43,42,13,98
2001,primary,MAS,31,31st District ..........,Buffalo MAS 31,45,52,8,105
2001,primary,MAS,32,32nd District ..........,Buffalo MAS 32,52,42,9,103
2001,primary,MAS,33,33rd District ..........,Buffalo MAS 33,67,108,18,193
2001,primary,MAS,34,34th District ..........,Buffalo MAS 34,38,58,9,105
2001,primary,MAS,35,35th District ..........,Buffalo MAS 35,84,72,9,165
2001,primary,MAS,36,36th District ..........,Buffalo MAS 36,42,53,6,101
2001,primary,MAS,37,37th District ..........,Buffalo MAS 37,47,57,11,115
2001,primary,MAS,38,38th District ..........,Buffalo MAS 38,36,54,8,98
2001,primary,MAS,39,39th District ..........,Buffalo MAS 39,17,19,2,38
2001,primary,MAS,40,40th District ..........,Buffalo MAS 40,44,63,11,118
2001,primary,MAS,41,41st District ..........,Buffalo MAS 41,40,40,8,88
2001,primary,MAS,42,42nd District ..........,Buffalo MAS 42,39,49,5,93
2001,primary,NIA,1,1st District ..........,Buffalo NIA 1,7,88,16,111
2001,primary,NIA,2,2nd District ..........,Buffalo NIA 2,10,57,7,74
2001,primary,NIA,3,3rd District ..........,Buffalo NIA 3,10,76,10,96
