year,election_type,ward,ed_num,ed_label,shapefile_key,Kevin J. Helfer,Byron W. Brown,Charles J. Flynn,Judith S. Einach,"Blank, Void & Scattering",TOTAL
2005,general,DEL,1,1st District ……………,Buffalo DEL 1,91,244,5,21,8,369
2005,general,DEL,2,2nd District ……………,Buffalo DEL 2,129,185,15,26,17,372
2005,general,DEL,3,3rd District ……………,Buffalo DEL 3,99,122,15,15,6,257
2005,general,DEL,4,4th District ……………,Buffalo DEL 4,177,180,13,22,7,399
2005,general,DEL,5,5th District ……………,Buffalo DEL 5,103,71,10,30,5,219
2005,general,DEL,6,6th District ……………,Buffalo DEL 6,186,149,16,34,7,392
2005,general,DEL,7,7th District ……………,Buffalo DEL 7,102,123,4,4,9,242
2005,general,DEL,8,8th District ……………,Buffalo DEL 8,217,150,7,20,7,401
2005,general,DEL,9,9th District ……………,Buffalo DEL 9,161,70,4,23,1,259
2005,general,DEL,10,10th District ……………,Buffalo DEL 10,133,95,6,33,8,275
2005,general,DEL,11,11th District ……………,Buffalo DEL 11,11,29,2,5,1,48
2005,general,DEL,12,12th District ……………,Buffalo DEL 12,177,149,4,48,5,383
2005,general,DEL,13,13th District ……………,Buffalo DEL 13,84,101,5,33,2,225
2005,general,DEL,14,14th District ……………,Buffalo DEL 14,17,73,1,20,3,114
2005,general,DEL,15,15th District ……………,Buffalo DEL 15,115,199,10,52,4,380
2005,general,DEL,16,16th District ……………,Buffalo DEL 16,104,96,9,12,9,230
2005,general,DEL,17,17th District ……………,Buffalo DEL 17,43,62,3,13,4,125
2005,general,DEL,18,18th District ……………,Buffalo DEL 18,24,125,11,5,3,168
2005,general,DEL,19,19th District ……………,Buffalo DEL 19,263,123,5,65,4,460
2005,general,DEL,20,20th District ……………,Buffalo DEL 20,139,125,18,27,5,314
2005,general,DEL,21,21st District ……………,Buffalo DEL 21,109,123,17,14,8,271
2005,general,DEL,22,22nd District ……………,Buffalo DEL 22,74,132,7,34,1,248
2005,general,DEL,23,23rd District ……………,Buffalo DEL 23,99,101,9,14,5,228
2005,general,DEL,24,24th District ……………,Buffalo DEL 24,139,143,9,20,9,320
2005,general,DEL,25,25th District ……………,Buffalo DEL 25,165,121,6,23,1,316
2005,general,DEL,26,26th District ……………,Buffalo DEL 26,223,199,11,39,11,483
2005,general,DEL,27,27th District ……………,Buffalo DEL 27,123,215,21,35,8,402
2005,general,DEL,28,28th District ……………,Buffalo DEL 28,60,86,8,9,6,169
2005,general,DEL,29,29th District ……………,Buffalo DEL 29,158,135,7,87,2,389
2005,general,DEL,30,30th District ……………,Buffalo DEL 30,216,117,2,64,4,403
2005,general,DEL,31,31st District ……………,Buffalo DEL 31,84,116,4,14,1,219
2005,general,DEL,32,32nd District ……………,Buffalo DEL 32,154,155,13,19,8,349
2005,general,DEL,33,33rd District ……………,Buffalo DEL 33,128,155,19,17,9,328
2005,general,DEL,34,34th District ……………,Buffalo DEL 34,201,73,1,22,4,301
2005,general,DEL,35,35th District ……………,Buffalo DEL 35,9,15,0,3,1,28
2005,general,DEL,36,36th District ……………,Buffalo DEL 36,255,160,7,60,3,485
2005,general,DEL,37,37th District ……………,Buffalo DEL 37,43,64,1,7,3,118
2005,general,DEL,38,38th District ……………,Buffalo DEL 38,8,202,6,9,0,225
2005,general,DEL,39,39th District ……………,Buffalo DEL 39,201,178,8,41,5,433
2005,general,ELL,1,1st District ……………,Buffalo ELL 1,37,22,1,13,1,74
2005,general,ELL,2,2nd District ……………,Buffalo ELL 2,6,110,6,2,2,126
2005,general,ELL,3,3rd District ……………,Buffalo ELL 3,1,199,1,0,2,203
2005,general,ELL,4,4th District ……………,Buffalo ELL 4,2,165,4,0,2,173
2005,general,ELL,5,5th District ……………,Buffalo ELL 5,112,63,3,6,0,184
2005,general,ELL,6,6th District ……………,Buffalo ELL 6,3,228,7,1,3,242
2005,general,ELL,7,7th District ……………,Buffalo ELL 7,59,76,4,26,3,168
2005,general,ELL,8,8th District ……………,Buffalo ELL 8,15,203,4,2,8,232
2005,general,ELL,9,9th District ……………,Buffalo ELL 9,39,136,8,9,4,196
2005,general,ELL,10,10th District ……………,Buffalo ELL 10,0,0,0,0,0,0
2005,general,ELL,11,11th District ……………,Buffalo ELL 11,52,122,7,12,5,198
2005,general,ELL,12,12th District ……………,Buffalo ELL 12,15,17,0,6,1,39
2005,general,ELL,13,13th District ……………,Buffalo ELL 13,36,217,6,8,3,270
2005,general,ELL,14,14th District ……………,Buffalo ELL 14,16,218,6,8,2,250
2005,general,ELL,15,15th District ……………,Buffalo ELL 15,10,285,9,0,3,307
2005,general,ELL,16,16th District ……………,Buffalo ELL 16,10,375,4,1,4,394
2005,general,ELL,17,17th District ……………,Buffalo ELL 17,15,100,7,2,1,125
2005,general,ELL,18,18th District ……………,Buffalo ELL 18,6,436,13,2,5,462
2005,general,ELL,19,19th District ……………,Buffalo ELL 19,66,83,4,13,3,169
2005,general,ELL,20,20th District ……………,Buffalo ELL 20,2,171,4,0,1,178
2005,general,ELL,21,21st District ……………,Buffalo ELL 21,23,8,0,3,0,34
2005,general,ELL,22,22nd District ……………,Buffalo ELL 22,25,51,1,12,0,89
2005,general,ELL,23,23rd District ……………,Buffalo ELL 23,7,252,2,0,0,261
2005,general,ELL,24,24th District ……………,Buffalo ELL 24,7,289,6,5,3,310
2005,general,ELL,25,25th District ……………,Buffalo ELL 25,5,268,8,1,2,284
2005,general,ELL,26,26th District ……………,Buffalo ELL 26,10,10,1,2,0,23
2005,general,ELL,27,27th District ……………,Buffalo ELL 27,6,384,10,3,3,406
2005,general,ELL,28,28th District ……………,Buffalo ELL 28,15,36,2,7,3,63
2005,general,ELL,29,29th District ……………,Buffalo ELL 29,0,8,1,1,0,10
2005,general,ELL,30,30th District ……………,Buffalo ELL 30,10,233,2,1,50,296
2005,general,ELL,31,31st District ……………,Buffalo ELL 31,2,135,2,1,2,142
2005,general,ELL,32,32nd District ……………,Buffalo ELL 32,51,76,4,47,2,180
2005,general,ELL,33,33rd District ……………,Buffalo ELL 33,3,278,7,1,0,289
2005,general,ELL,34,34th District ……………,Buffalo ELL 34,0,112,3,2,14,131
2005,general,ELL,35,35th District ……………,Buffalo ELL 35,42,138,2,11,1,194
2005,general,ELL,36,36th District ……………,Buffalo ELL 36,1,1,0,1,0,3
2005,general,ELL,37,37th District ……………,Buffalo ELL 37,0,11,0,0,0,11
2005,general,ELL,38,38th District ……………,Buffalo ELL 38,53,90,6,27,2,178
2005,general,ELL,39,39th District ……………,Buffalo ELL 39,10,250,2,3,1,266
2005,general,ELL,40,40th District ……………,Buffalo ELL 40,5,312,7,1,6,331
2005,general,ELL,41,41st District ……………,Buffalo ELL 41,27,55,4,11,1,98
2005,general,FIL,1,1st District ……………,Buffalo FIL 1,16,18,3,0,2,39
2005,general,FIL,2,2nd District ……………,Buffalo FIL 2,10,74,4,1,5,94
2005,general,FIL,3,3rd District ……………,Buffalo FIL 3,9,50,4,2,0,65
2005,general,FIL,4,4th District ……………,Buffalo FIL 4,27,80,5,2,3,117
2005,general,FIL,5,5th District ……………,Buffalo FIL 5,2,1,1,1,2,7
2005,general,FIL,6,6th District ……………,Buffalo FIL 6,25,87,7,3,5,127
2005,general,FIL,7,7th District ……………,Buffalo FIL 7,39,67,7,5,0,118
2005,general,FIL,8,8th District ……………,Buffalo FIL 8,23,41,8,3,2,77
2005,general,FIL,9,9th District ……………,Buffalo FIL 9,46,67,2,4,3,122
2005,general,FIL,10,10th District ……………,Buffalo FIL 10,7,80,2,4,1,94
2005,general,FIL,11,11th District ……………,Buffalo FIL 11,18,56,5,2,2,83
2005,general,FIL,12,12th District ……………,Buffalo FIL 12,42,104,4,3,2,155
2005,general,FIL,13,13th District ……………,Buffalo FIL 13,9,286,9,1,0,305
2005,general,FIL,14,14th District ……………,Buffalo FIL 14,8,62,0,3,2,75
2005,general,FIL,15,15th District ……………,Buffalo FIL 15,0,1,0,0,0,1
2005,general,FIL,16,16th District ……………,Buffalo FIL 16,5,53,2,0,1,61
2005,general,FIL,17,17th District ……………,Buffalo FIL 17,102,101,23,6,6,238
2005,general,FIL,18,18th District ……………,Buffalo FIL 18,9,75,6,3,3,96
2005,general,FIL,19,19th District ……………,Buffalo FIL 19,15,96,6,3,13,133
2005,general,FIL,20,20th District ……………,Buffalo FIL 20,2,103,1,1,1,108
2005,general,FIL,21,21st District ……………,Buffalo FIL 21,20,38,2,4,2,66
2005,general,FIL,22,22nd District ……………,Buffalo FIL 22,30,45,1,6,1,83
2005,general,FIL,23,23rd District ……………,Buffalo FIL 23,7,113,1,0,1,122
2005,general,FIL,24,24th District ……………,Buffalo FIL 24,186,208,14,32,14,454
2005,general,FIL,25,25th District ……………,Buffalo FIL 25,6,159,5,0,3,173
2005,general,FIL,26,26th District ……………,Buffalo FIL 26,15,53,2,2,0,72
2005,general,FIL,27,27th District ……………,Buffalo FIL 27,11,250,2,0,5,268
2005,general,FIL,28,28th District ……………,Buffalo FIL 28,2,0,0,0,0,2
2005,general,FIL,29,29th District ……………,Buffalo FIL 29,1,0,0,0,1,2
2005,general,FIL,30,30th District ……………,Buffalo FIL 30,1,7,0,0,0,8
2005,general,FIL,31,31st District ……………,Buffalo FIL 31,41,46,8,10,4,109
2005,general,FIL,32,32nd District ……………,Buffalo FIL 32,25,81,10,5,2,123
2005,general,FIL,33,33rd District ……………,Buffalo FIL 33,5,7,0,0,1,13
2005,general,FIL,34,34th District ……………,Buffalo FIL 34,25,142,4,1,2,174
2005,general,FIL,35,35th District ……………,Buffalo FIL 35,10,222,8,1,2,243
2005,general,FIL,36,36th District ……………,Buffalo FIL 36,0,2,0,0,0,2
2005,general,FIL,37,37th District ……………,Buffalo FIL 37,178,152,28,21,9,388
2005,general,FIL,38,38th District ……………,Buffalo FIL 38,5,181,8,0,4,198
2005,general,FIL,39,39th District ……………,Buffalo FIL 39,1,169,8,0,1,179
2005,general,FIL,40,40th District ……………,Buffalo FIL 40,16,58,12,3,52,141
2005,general,FIL,41,41st District ……………,Buffalo FIL 41,36,45,7,1,4,93
2005,general,FIL,42,42nd District ……………,Buffalo FIL 42,5,172,10,0,0,187
2005,general,FIL,43,43rd District ……………,Buffalo FIL 43,0,131,8,1,2,142
2005,general,FIL,44,44th District ……………,Buffalo FIL 44,105,133,36,6,10,290
2005,general,FIL,45,45th District ……………,Buffalo FIL 45,2,4,0,0,0,6
2005,general,FIL,46,46th District ……………,Buffalo FIL 46,3,191,7,0,2,203
2005,general,LOV,1,1st District ……………,Buffalo LOV 1,12,20,11,3,1,47
2005,general,LOV,2,2nd District ……………,Buffalo LOV 2,146,154,30,13,13,356
