year,election_type,ward,ed_num,ed_label,shapefile_key,Steven A. Calvaneso,Byron W. Brown,Kevin P. Gaughan,"Blank, Void & Scattering",TOTAL
2005,primary,DEL,1,1st District ……………,Buffalo DEL 1,8,90,53,5,156
2005,primary,DEL,2,2nd District ……………,Buffalo DEL 2,9,53,64,6,132
2005,primary,DEL,3,3rd District ……………,Buffalo DEL 3,12,46,28,5,91
2005,primary,DEL,4,4th District ……………,Buffalo DEL 4,2,36,60,7,105
2005,primary,DEL,5,5th District ……………,Buffalo DEL 5,2,10,62,1,75
2005,primary,DEL,6,6th District ……………,Buffalo DEL 6,9,53,73,7,142
2005,primary,DEL,7,7th District ……………,Buffalo DEL 7,4,50,35,5,94
2005,primary,DEL,8,8th District ……………,Buffalo DEL 8,6,38,70,1,115
2005,primary,DEL,9,9th District ……………,Buffalo DEL 9,3,21,87,2,113
2005,primary,DEL,10,10th District ……………,Buffalo DEL 10,4,28,74,4,110
2005,primary,DEL,11,11th District ……………,Buffalo DEL 11,1,7,4,6,18
2005,primary,DEL,12,12th District ……………,Buffalo DEL 12,12,47,118,6,183
2005,primary,DEL,13,13th District ……………,Buffalo DEL 13,1,25,72,4,102
2005,primary,DEL,14,14th District ……………,Buffalo DEL 14,0,20,14,0,34
2005,primary,DEL,15,15th District ……………,Buffalo DEL 15,6,59,86,6,157
2005,primary,DEL,16,16th District ……………,Buffalo DEL 16,6,24,43,5,78
2005,primary,DEL,17,17th District ……………,Buffalo DEL 17,1,14,31,1,47
2005,primary,DEL,18,18th District ……………,Buffalo DEL 18,6,62,16,15,99
2005,primary,DEL,19,19th District ……………,Buffalo DEL 19,6,35,125,4,170
2005,primary,DEL,20,20th District ……………,Buffalo DEL 20,2,26,51,3,82
2005,primary,DEL,21,21st District ……………,Buffalo DEL 21,7,43,35,8,93
2005,primary,DEL,22,22nd District ……………,Buffalo DEL 22,1,40,60,3,104
2005,primary,DEL,23,23rd District ……………,Buffalo DEL 23,2,26,39,3,70
2005,primary,DEL,24,24th District ……………,Buffalo DEL 24,9,29,77,2,117
2005,primary,DEL,25,25th District ……………,Buffalo DEL 25,5,28,79,6,118
2005,primary,DEL,26,26th District ……………,Buffalo DEL 26,12,69,105,10,196
2005,primary,DEL,27,27th District ……………,Buffalo DEL 27,6,68,50,1,125
2005,primary,DEL,28,28th District ……………,Buffalo DEL 28,4,47,26,0,77
2005,primary,DEL,29,29th District ……………,Buffalo DEL 29,5,28,94,0,127
2005,primary,DEL,30,30th District ……………,Buffalo DEL 30,7,20,118,2,147
2005,primary,DEL,31,31st District ……………,Buffalo DEL 31,8,23,33,2,66
