year,election_type,ward,ed_num,ed_label,shapefile_key,Byron W. Brown,Michael P. Kearns,"Blank, Void & Scattering",TOTAL
2009,general,DEL,1,1st District ……………,Buffalo DEL 1,144,0,57,201
2009,general,DEL,2,2nd District ……………,Buffalo DEL 2,84,2,67,153
2009,general,DEL,3,3rd District ……………,Buffalo DEL 3,64,1,29,94
2009,general,DEL,4,4th District ……………,Buffalo DEL 4,52,0,69,121
2009,general,DEL,5,5th District ……………,Buffalo DEL 5,30,1,43,74
2009,general,DEL,6,6th District ……………,Buffalo DEL 6,76,2,68,146
2009,general,DEL,7,7th District ……………,Buffalo DEL 7,63,1,50,114
2009,general,DEL,8,8th District ……………,Buffalo DEL 8,89,4,70,163
2009,general,DEL,9,9th District ……………,Buffalo DEL 9,59,4,82,145
2009,general,DEL,10,10th District ……………,Buffalo DEL 10,57,0,56,113
2009,general,DEL,11,11th District ……………,Buffalo DEL 11,11,0,4,15
2009,general,DEL,12,12th District ……………,Buffalo DEL 12,99,2,99,200
2009,general,DEL,13,13th District ……………,Buffalo DEL 13,51,4,35,90
2009,general,DEL,14,14th District ……………,Buffalo DEL 14,25,2,12,39
2009,general,DEL,15,15th District ……………,Buffalo DEL 15,94,2,57,153
2009,general,DEL,16,16th District ……………,Buffalo DEL 16,48,1,52,101
2009,general,DEL,17,17th District ……………,Buffalo DEL 17,35,0,24,59
2009,general,DEL,18,18th District ……………,Buffalo DEL 18,71,0,26,97
2009,general,DEL,19,19th District ……………,Buffalo DEL 19,79,2,137,218
2009,general,DEL,20,20th District ……………,Buffalo DEL 20,59,2,40,101
2009,general,DEL,21,21st District ……………,Buffalo DEL 21,55,0,52,107
2009,general,DEL,22,22nd District ……………,Buffalo DEL 22,54,0,49,103
2009,general,DEL,23,23rd District ……………,Buffalo DEL 23,57,0,37,94
2009,general,DEL,24,24th District ……………,Buffalo DEL 24,74,1,74,149
2009,general,DEL,25,25th District ……………,Buffalo DEL 25,63,1,82,146
2009,general,DEL,26,26th District ……………,Buffalo DEL 26,126,2,93,221
