year,election_type,ward,ed_num,ed_label,shapefile_key,Michael P. Kearns,Byron W. Brown,"Blank, Void & Scattering",TOTAL
2009,primary,DEL,1,1st District ……………,Buffalo DEL 1,82,289,7,378
2009,primary,DEL,2,2nd District ……………,Buffalo DEL 2,212,194,2,408
2009,primary,DEL,3,3rd District ……………,Buffalo DEL 3,245,228,5,478
2009,primary,DEL,5,5th District ……………,Buffalo DEL 5,389,99,1,489
2009,primary,DEL,6,6th District ……………,Buffalo DEL 6,408,191,1,600
2009,primary,DEL,7,7th District ……………,Buffalo DEL 7,237,159,0,396
2009,primary,DEL,8,8th District ……………,Buffalo DEL 8,195,128,1,324
2009,primary,DEL,9,9th District ……………,Buffalo DEL 9,306,143,2,451
2009,primary,DEL,10,10th District ……………,Buffalo DEL 10,98,47,2,147
2009,primary,DEL,11,11th District ……………,Buffalo DEL 11,11,9,0,20
2009,primary,DEL,12,12th District ……………,Buffalo DEL 12,402,267,7,676
2009,primary,DEL,17,17th District ……………,Buffalo DEL 17,34,35,0,69
2009,primary,DEL,18,18th District ……………,Buffalo DEL 18,17,93,4,114
2009,primary,DEL,19,19th District ……………,Buffalo DEL 19,286,75,0,361
2009,primary,DEL,20,20th District ……………,Buffalo DEL 20,169,191,4,364
2009,primary,DEL,24,24th District ……………,Buffalo DEL 24,95,51,3,149
2009,primary,DEL,28,28th District ……………,Buffalo DEL 28,27,68,2,97
2009,primary,DEL,37,37th District ……………,Buffalo DEL 37,53,404,12,469
2009,primary,ELL,1,1st District ……………,Buffalo ELL 1,377,255,3,635
2009,primary,ELL,2,2nd District ……………,Buffalo ELL 2,43,146,3,192
2009,primary,ELL,3,3rd District ……………,Buffalo ELL 3,16,665,20,701
2009,primary,ELL,4,4th District ……………,Buffalo ELL 4,25,438,9,472
2009,primary,ELL,5,5th District ……………,Buffalo ELL 5,203,118,1,322
2009,primary,ELL,8,8th District ……………,Buffalo ELL 8,103,146,4,253
2009,primary,ELL,11,11th District ……………,Buffalo ELL 11,109,194,0,303
2009,primary,ELL,12,12th District ……………,Buffalo ELL 12,7,13,0,20
2009,primary,ELL,14,14th District ……………,Buffalo ELL 14,37,713,23,773
2009,primary,ELL,16,16th District ……………,Buffalo ELL 16,28,739,6,773
2009,primary,ELL,17,17th District ……………,Buffalo ELL 17,83,103,6,192
2009,primary,ELL,23,23rd District ……………,Buffalo ELL 23,1,113,3,117
2009,primary,ELL,25,25th District ……………,Buffalo ELL 25,4,229,5,238
2009,primary,ELL,27,27th District ……………,Buffalo ELL 27,13,457,9,479
2009,primary,ELL,28,28th District ……………,Buffalo ELL 28,167,103,0,270
2009,primary,ELL,32,32nd District ……………,Buffalo ELL 32,86,54,0,140
2009,primary,ELL,34,34th District ……………,Buffalo ELL 34,25,444,11,480
2009,primary,ELL,35,35th District ……………,Buffalo ELL 35,107,73,2,182
2009,primary,FIL,1,1st District ……………,Buffalo FIL 1,12,3,0,15
2009,primary,FIL,2,2nd District ……………,Buffalo FIL 2,44,314,10,368
2009,primary,FIL,4,4th District ……………,Buffalo FIL 4,26,105,4,135
2009,primary,FIL,7,7th District ……………,Buffalo FIL 7,56,174,4,234
2009,primary,FIL,8,8th District ……………,Buffalo FIL 8,56,90,1,147
2009,primary,FIL,11,11th District ……………,Buffalo FIL 11,23,73,2,98
2009,primary,FIL,17,17th District ……………,Buffalo FIL 17,84,29,4,117
2009,primary,FIL,21,21st District ……………,Buffalo FIL 21,24,17,0,41
2009,primary,FIL,23,23rd District ……………,Buffalo FIL 23,7,269,8,284
2009,primary,FIL,25,25th District ……………,Buffalo FIL 25,6,103,0,109
2009,primary,FIL,27,27th District ……………,Buffalo FIL 27,14,190,3,207
2009,primary,FIL,28,28th District ……………,Buffalo FIL 28,0,2,0,2
2009,primary,FIL,30,30th District ……………,Buffalo FIL 30,5,2,0,7
2009,primary,FIL,31,31st District ……………,Buffalo FIL 31,27,19,0,46
2009,primary,FIL,32,32nd District ……………,Buffalo FIL 32,20,166,8,194
2009,primary,FIL,35,35th District ……………,Buffalo FIL 35,17,405,3,425
2009,primary,FIL,37,37th District ……………,Buffalo FIL 37,199,72,0,271
2009,primary,FIL,41,41st District ……………,Buffalo FIL 41,164,48,0,212
2009,primary,FIL,46,46th District ……………,Buffalo FIL 46,13,562,8,583
2009,primary,LOV,1,1st District ……………,Buffalo LOV 1,245,89,2,336
2009,primary,LOV,4,4th District ……………,Buffalo LOV 4,43,349,4,396
2009,primary,LOV,5,5th District ……………,Buffalo LOV 5,350,122,10,482
2009,primary,LOV,8,8th District ……………,Buffalo LOV 8,308,87,1,396
2009,primary,LOV,9,9th District ……………,Buffalo LOV 9,135,15,1,151
2009,primary,LOV,12,12th District ……………,Buffalo LOV 12,226,51,0,277
2009,primary,LOV,14,14th District ……………,Buffalo LOV 14,49,841,15,905
2009,primary,LOV,17,17th District ……………,Buffalo LOV 17,19,382,8,409
2009,primary,LOV,18,18th District ……………,Buffalo LOV 18,51,19,0,70
2009,primary,LOV,19,19th District ……………,Buffalo LOV 19,86,544,4,634
2009,primary,LOV,24,24th District ……………,Buffalo LOV 24,24,240,5,269
2009,primary,MAS,1,1st District ……………,Buffalo MAS 1,12,591,10,613
2009,primary,MAS,2,2nd District ……………,Buffalo MAS 2,10,474,6,490
2009,primary,MAS,4,4th District ……………,Buffalo MAS 4,35,750,16,801
2009,primary,MAS,6,6th District ……………,Buffalo MAS 6,12,368,8,388
2009,primary,MAS,8,8th District ……………,Buffalo MAS 8,13,753,19,785
2009,primary,MAS,10,10th District ……………,Buffalo MAS 10,13,531,10,554
2009,primary,MAS,13,13th District ……………,Buffalo MAS 13,11,323,8,342
2009,primary,MAS,15,15th District ……………,Buffalo MAS 15,14,340,1,355
2009,primary,MAS,20,20th District ……………,Buffalo MAS 20,7,369,1,377
2009,primary,MAS,23,23rd District ……………,Buffalo MAS 23,15,453,7,475
2009,primary,MAS,25,25th District ……………,Buffalo MAS 25,11,301,4,316
2009,primary,MAS,28,28th District ……………,Buffalo MAS 28,20,552,7,579
2009,primary,NIA,1,1st District ……………,Buffalo NIA 1,335,181,2,518
2009,primary,NIA,2,2nd District ……………,Buffalo NIA 2,134,103,0,237
2009,primary,NIA,4,4th District ……………,Buffalo NIA 4,22,10,0,32
2009,primary,NIA,5,5th District ……………,Buffalo NIA 5,49,86,7,142
2009,primary,NIA,6,6th District ……………,Buffalo NIA 6,79,83,1,163
2009,primary,NIA,7,7th District ……………,Buffalo NIA 7,184,111,3,298
2009,primary,NIA,8,8th District ……………,Buffalo NIA 8,117,188,4,309
2009,primary,NIA,9,9th District ……………,Buffalo NIA 9,77,93,0,170
2009,primary,NIA,11,11th District ……………,Buffalo NIA 11,31,65,0,96
2009,primary,NIA,17,17th District ……………,Buffalo NIA 17,73,85,1,159
2009,primary,NIA,18,18th District ……………,Buffalo NIA 18,86,104,2,192
2009,primary,NIA,23,23rd District ……………,Buffalo NIA 23,101,144,2,247
2009,primary,NOR,1,1st District ……………,Buffalo NOR 1,174,121,2,297
2009,primary,NOR,4,4th District ……………,Buffalo NOR 4,207,144,3,354
2009,primary,NOR,5,5th District ……………,Buffalo NOR 5,132,131,3,266
2009,primary,NOR,7,7th District ……………,Buffalo NOR 7,238,102,4,344
2009,primary,NOR,10,10th District ……………,Buffalo NOR 10,39,70,0,109
2009,primary,NOR,12,12th District ……………,Buffalo NOR 12,112,129,2,243
2009,primary,NOR,16,16th District ……………,Buffalo NOR 16,163,207,4,374
2009,primary,NOR,24,24th District ……………,Buffalo NOR 24,113,85,1,199
2009,primary,NOR,28,28th District ……………,Buffalo NOR 28,114,118,4,236
2009,primary,NOR,30,30th District ……………,Buffalo NOR 30,18,60,2,80
2009,primary,SOU,1,1st District ……………,Buffalo SOU 1,239,50,0,289
2009,primary,SOU,2,2nd District ……………,Buffalo SOU 2,258,70,1,329
2009,primary,SOU,3,3rd District ……………,Buffalo SOU 3,499,162,6,667
2009,primary,SOU,4,4th District ……………,Buffalo SOU 4,600,178,4,782
2009,primary,SOU,9,9th District ……………,Buffalo SOU 9,691,258,0,949
2009,primary,SOU,12,12th District ……………,Buffalo SOU 12,315,74,0,389
2009,primary,SOU,14,14th District ……………,Buffalo SOU 14,219,70,2,291
2009,primary,SOU,15,15th District ……………,Buffalo SOU 15,456,172,5,633
2009,primary,SOU,20,20th District ……………,Buffalo SOU 20,310,54,2,366
2009,primary,SOU,25,25th District ……………,Buffalo SOU 25,339,86,0,425
2009,primary,SOU,27,27th District ……………,Buffalo SOU 27,243,54,3,300
2009,primary,SOU,28,28th District ……………,Buffalo SOU 28,152,33,1,186
2009,primary,UNI,1,1st District ……………,Buffalo UNI 1,49,771,10,830
2009,primary,UNI,2,2nd District ……………,Buffalo UNI 2,164,144,4,312
