year,election_type,ward,ed_num,ed_label,shapefile_key,Byron W. Brown,Sergio R. Rodriguez,"Blank, Void & Scattering",TOTAL
2013,general,DEL,1,1st District ……………,Buffalo DEL 1,3,2,0,5
2013,general,DEL,2,2nd District ……………,Buffalo DEL 2,214,134,13,361
2013,general,DEL,3,3rd District ……………,Buffalo DEL 3,119,63,12,194
2013,general,DEL,4,4th District ……………,Buffalo DEL 4,85,40,4,129
2013,general,DEL,5,5th District ……………,Buffalo DEL 5,69,51,9,129
2013,general,DEL,6,6th District ……………,Buffalo DEL 6,74,43,7,124
2013,general,DEL,7,7th District ……………,Buffalo DEL 7,107,72,3,182
2013,general,DEL,8,8th District ……………,Buffalo DEL 8,123,96,8,227
2013,general,DEL,9,9th District ……………,Buffalo DEL 9,134,145,16,295
2013,general,DEL,10,10th District ……………,Buffalo DEL 10,58,65,6,129
2013,general,DEL,11,11th District ……………,Buffalo DEL 11,124,71,9,204
2013,general,DEL,12,12th District ……………,Buffalo DEL 12,103,80,4,187
2013,general,DEL,13,13th District ……………,Buffalo DEL 13,68,23,6,97
2013,general,DEL,14,14th District ……………,Buffalo DEL 14,89,53,10,152
2013,general,DEL,15,15th District ……………,Buffalo DEL 15,52,50,5,107
2013,general,DEL,16,16th District ……………,Buffalo DEL 16,158,86,24,268
2013,general,DEL,17,17th District ……………,Buffalo DEL 17,121,106,10,237
2013,general,DEL,18,18th District ……………,Buffalo DEL 18,68,36,2,106
2013,general,DEL,19,19th District ……………,Buffalo DEL 19,92,60,10,162
2013,general,DEL,20,20th District ……………,Buffalo DEL 20,66,74,14,154
2013,general,DEL,21,21st District ……………,Buffalo DEL 21,131,100,14,245
2013,general,DEL,22,22nd District ……………,Buffalo DEL 22,51,51,4,106
2013,general,DEL,23,23rd District ……………,Buffalo DEL 23,112,101,21,234
2013,general,DEL,24,24th District ……………,Buffalo DEL 24,79,62,12,153
2013,general,DEL,25,25th District ……………,Buffalo DEL 25,132,91,12,235
2013,general,DEL,26,26th District ……………,Buffalo DEL 26,106,82,8,196
2013,general,DEL,27,27th District ……………,Buffalo DEL 27,87,19,8,114
2013,general,DEL,28,28th District ……………,Buffalo DEL 28,79,69,3,151
2013,general,DEL,29,29th District ……………,Buffalo DEL 29,100,68,6,174
2013,general,DEL,30,30th District ……………,Buffalo DEL 30,112,116,15,243
2013,general,DEL,31,31st District ……………,Buffalo DEL 31,150,130,15,295
2013,general,DEL,32,32nd District ……………,Buffalo DEL 32,116,150,20,286
2013,general,DEL,33,33rd District ……………,Buffalo DEL 33,86,78,14,178
2013,general,DEL,34,34th District ……………,Buffalo DEL 34,116,127,11,254
2013,general,ELL,1,1st District ……………,Buffalo ELL 1,270,95,17,382
2013,general,ELL,2,2nd District ……………,Buffalo ELL 2,37,38,2,77
2013,general,ELL,3,3rd District ……………,Buffalo ELL 3,140,57,18,215
2013,general,ELL,4,4th District ……………,Buffalo ELL 4,66,2,2,70
2013,general,ELL,5,5th District ……………,Buffalo ELL 5,59,3,0,62
