year,election_type,ward,ed_num,ed_label,shapefile_key,Byron W. Brown,Bernie Tolbert,"Blank, Void & Scattering",TOTAL
2013,primary,DEL,1,1st District ……………,Buffalo DEL 1,22,11,0,33
2013,primary,DEL,2,2nd District ……………,Buffalo DEL 2,106,78,3,187
2013,primary,DEL,3,3rd District ……………,Buffalo DEL 3,107,77,2,186
2013,primary,DEL,4,4th District ……………,Buffalo DEL 4,105,64,4,173
2013,primary,DEL,8,8th District ……………,Buffalo DEL 8,139,170,6,315
2013,primary,DEL,11,11th District ……………,Buffalo DEL 11,99,68,0,167
2013,primary,DEL,13,13th District ……………,Buffalo DEL 13,82,45,3,130
2013,primary,DEL,15,15th District ……………,Buffalo DEL 15,19,23,3,45
2013,primary,DEL,16,16th District ……………,Buffalo DEL 16,112,110,4,226
2013,primary,DEL,18,18th District ……………,Buffalo DEL 18,139,128,6,273
2013,primary,DEL,19,19th District ……………,Buffalo DEL 19,28,37,1,66
2013,primary,DEL,20,20th District ……………,Buffalo DEL 20,103,121,4,228
2013,primary,DEL,23,23rd District ……………,Buffalo DEL 23,168,201,10,379
2013,primary,DEL,27,27th District ……………,Buffalo DEL 27,76,21,0,97
2013,primary,DEL,29,29th District ……………,Buffalo DEL 29,64,49,4,117
2013,primary,DEL,30,30th District ……………,Buffalo DEL 30,101,130,8,239
2013,primary,DEL,32,32nd District ……………,Buffalo DEL 32,117,202,13,332
2013,primary,ELL,1,1st District ……………,Buffalo ELL 1,164,98,2,264
2013,primary,ELL,2,2nd District ……………,Buffalo ELL 2,65,55,4,124
2013,primary,ELL,3,3rd District ……………,Buffalo ELL 3,117,39,2,158
2013,primary,ELL,4,4th District ……………,Buffalo ELL 4,234,53,3,290
2013,primary,ELL,7,7th District ……………,Buffalo ELL 7,248,37,1,286
2013,primary,ELL,9,9th District ……………,Buffalo ELL 9,10,9,0,19
2013,primary,ELL,11,11th District ……………,Buffalo ELL 11,168,37,2,207
2013,primary,ELL,13,13th District ……………,Buffalo ELL 13,178,41,2,221
2013,primary,ELL,14,14th District ……………,Buffalo ELL 14,26,11,1,38
2013,primary,ELL,15,15th District ……………,Buffalo ELL 15,91,61,6,158
2013,primary,ELL,16,16th District ……………,Buffalo ELL 16,61,18,1,80
2013,primary,ELL,18,18th District ……………,Buffalo ELL 18,77,44,2,123
2013,primary,ELL,19,19th District ……………,Buffalo ELL 19,207,58,3,268
2013,primary,ELL,21,21st District ……………,Buffalo ELL 21,119,27,4,150
2013,primary,ELL,22,22nd District ……………,Buffalo ELL 22,195,43,2,240
2013,primary,ELL,24,24th District ……………,Buffalo ELL 24,87,21,2,110
2013,primary,ELL,25,25th District ……………,Buffalo ELL 25,177,60,3,240
2013,primary,ELL,27,27th District ……………,Buffalo ELL 27,81,12,1,94
2013,primary,ELL,28,28th District ……………,Buffalo ELL 28,135,27,1,163
2013,primary,ELL,29,29th District ……………,Buffalo ELL 29,192,39,3,234
2013,primary,ELL,31,31st District ……………,Buffalo ELL 31,175,40,2,217
2013,primary,ELL,33,33rd District ……………,Buffalo ELL 33,113,104,3,220
2013,primary,ELL,34,34th District ……………,Buffalo ELL 34,127,43,15,185
2013,primary,FIL,2,2nd District ……………,Buffalo FIL 2,47,61,5,113
2013,primary,FIL,9,9th District ……………,Buffalo FIL 9,178,45,1,224
2013,primary,FIL,10,10th District ……………,Buffalo FIL 10,133,27,4,164
2013,primary,FIL,11,11th District ……………,Buffalo FIL 11,228,29,3,260
2013,primary,FIL,12,12th District ……………,Buffalo FIL 12,59,54,3,116
2013,primary,FIL,14,14th District ……………,Buffalo FIL 14,33,31,3,67
2013,primary,FIL,15,15th District ……………,Buffalo FIL 15,106,35,0,141
2013,primary,FIL,16,16th District ……………,Buffalo FIL 16,8,4,3,15
2013,primary,FIL,17,17th District ……………,Buffalo FIL 17,25,27,0,52
2013,primary,FIL,19,19th District ……………,Buffalo FIL 19,46,28,3,77
2013,primary,FIL,20,20th District ……………,Buffalo FIL 20,157,37,8,202
2013,primary,FIL,21,21st District ……………,Buffalo FIL 21,62,10,1,73
2013,primary,FIL,23,23rd District ……………,Buffalo FIL 23,105,35,0,140
2013,primary,FIL,25,25th District ……………,Buffalo FIL 25,88,30,2,120
2013,primary,FIL,29,29th District ……………,Buffalo FIL 29,152,25,4,181
2013,primary,FIL,31,31st District ……………,Buffalo FIL 31,41,17,3,61
2013,primary,FIL,32,32nd District ……………,Buffalo FIL 32,92,30,1,123
2013,primary,LOV,1,1st District ……………,Buffalo LOV 1,139,28,2,169
2013,primary,LOV,4,4th District ……………,Buffalo LOV 4,133,28,4,165
2013,primary,LOV,8,8th District ……………,Buffalo LOV 8,152,37,1,190
2013,primary,LOV,11,11th District ……………,Buffalo LOV 11,88,27,2,117
2013,primary,LOV,13,13th District ……………,Buffalo LOV 13,161,56,6,223
2013,primary,LOV,15,15th District ……………,Buffalo LOV 15,132,92,5,229
2013,primary,LOV,20,20th District ……………,Buffalo LOV 20,30,29,1,60
2013,primary,LOV,22,22nd District ……………,Buffalo LOV 22,1,1,0,2
2013,primary,LOV,24,24th District ……………,Buffalo LOV 24,69,62,5,136
2013,primary,LOV,25,25th District ……………,Buffalo LOV 25,1,2,0,3
2013,primary,LOV,26,26th District ……………,Buffalo LOV 26,13,4,0,17
2013,primary,LOV,27,27th District ……………,Buffalo LOV 27,106,110,8,224
2013,primary,LOV,29,29th District ……………,Buffalo LOV 29,96,80,4,180
2013,primary,LOV,31,31st District ……………,Buffalo LOV 31,76,49,3,128
2013,primary,MAS,1,1st District ……………,Buffalo MAS 1,194,44,4,242
2013,primary,MAS,4,4th District ……………,Buffalo MAS 4,259,36,4,299
2013,primary,MAS,5,5th District ……………,Buffalo MAS 5,161,31,1,193
2013,primary,MAS,8,8th District ……………,Buffalo MAS 8,173,29,2,204
2013,primary,MAS,12,12th District ……………,Buffalo MAS 12,281,42,3,326
2013,primary,MAS,13,13th District ……………,Buffalo MAS 13,220,38,0,258
2013,primary,MAS,14,14th District ……………,Buffalo MAS 14,105,26,-1,130
2013,primary,MAS,16,16th District ……………,Buffalo MAS 16,218,43,6,267
2013,primary,MAS,19,19th District ……………,Buffalo MAS 19,268,60,3,331
2013,primary,MAS,21,21st District ……………,Buffalo MAS 21,179,24,1,204
