year,election_type,ward,ed_num,ed_label,shapefile_key,Byron W Brown,Anita L Howard,Terrence A Robinson,Mark J F Schroeder,Taniqua Simmons,"Blank, Void & Scattering",total
2017,general,DEL,1,Del 001,Buffalo DEL 1,3,0,0,2,0,0,5
2017,general,DEL,2,Del 002,Buffalo DEL 2,318,22,17,116,0,21,494
2017,general,DEL,3,Del 003,Buffalo DEL 3,148,6,6,78,0,7,245
2017,general,DEL,4,Del 004,Buffalo DEL 4,121,5,6,40,0,9,181
2017,general,DEL,5,Del 005,Buffalo DEL 5,139,10,7,37,0,10,203
2017,general,DEL,6,Del 006,Buffalo DEL 6,116,12,4,32,0,2,166
2017,general,DEL,7,Del 007,Buffalo DEL 7,181,7,11,67,0,12,278
2017,general,DEL,8,Del 008,Buffalo DEL 8,238,12,15,73,0,11,349
2017,general,DEL,9,Del 009,Buffalo DEL 9,287,16,6,115,0,18,442
2017,general,DEL,10,Del 010,Buffalo DEL 10,87,5,4,46,0,4,146
2017,general,DEL,11,Del 011,Buffalo DEL 11,210,10,10,60,0,15,305
2017,general,DEL,12,Del 012,Buffalo DEL 12,161,9,12,64,0,11,257
2017,general,DEL,13,Del 013,Buffalo DEL 13,103,8,8,26,2,3,150
2017,general,DEL,14,Del 014,Buffalo DEL 14,153,9,2,53,1,18,236
2017,general,DEL,15,Del 015,Buffalo DEL 15,93,10,4,41,1,7,156
2017,general,DEL,16,Del 016,Buffalo DEL 16,235,11,19,87,0,14,366
2017,general,DEL,17,Del 017,Buffalo DEL 17,180,6,15,54,0,10,265
2017,general,DEL,18,Del 018,Buffalo DEL 18,93,5,2,20,0,6,126
2017,general,DEL,19,Del 019,Buffalo DEL 19,160,12,8,38,0,7,225
2017,general,DEL,20,Del 020,Buffalo DEL 20,125,10,5,55,0,10,205
2017,general,DEL,21,Del 021,Buffalo DEL 21,179,7,9,83,0,16,294
2017,general,DEL,22,Del 022,Buffalo DEL 22,103,11,8,30,0,6,158
2017,general,DEL,23,Del 023,Buffalo DEL 23,216,9,19,68,0,18,330
2017,general,DEL,24,Del 024,Buffalo DEL 24,147,5,13,49,0,7,221
2017,general,DEL,25,Del 025,Buffalo DEL 25,200,12,12,59,0,16,299
2017,general,DEL,26,Del 026,Buffalo DEL 26,195,12,15,42,0,10,274
2017,general,DEL,27,Del 027,Buffalo DEL 27,76,2,4,15,0,6,103
2017,general,DEL,28,Del 028,Buffalo DEL 28,131,4,7,53,0,7,202
2017,general,DEL,29,Del 029,Buffalo DEL 29,191,10,21,68,1,17,308
2017,general,DEL,30,Del 030,Buffalo DEL 30,223,13,29,63,0,15,343
2017,general,DEL,31,Del 031,Buffalo DEL 31,267,5,19,94,1,14,400
2017,general,DEL,32,Del 032,Buffalo DEL 32,271,13,27,96,0,24,431
2017,general,DEL,33,Del 033,Buffalo DEL 33,136,8,16,56,0,13,229
2017,general,DEL,34,Del 034,Buffalo DEL 34,193,10,7,79,0,20,309
2017,general,ELL,1,Ell 001,Buffalo ELL 1,288,7,21,79,0,26,421
2017,general,ELL,2,Ell 002,Buffalo ELL 2,72,3,13,31,1,3,123
2017,general,ELL,3,Ell 003,Buffalo ELL 3,167,3,8,31,0,12,221
2017,general,ELL,4,Ell 004,Buffalo ELL 4,69,0,4,4,1,3,81
2017,general,ELL,5,Ell 005,Buffalo ELL 5,46,2,1,1,0,2,52
2017,general,ELL,6,Ell 006,Buffalo ELL 6,81,1,6,7,0,6,101
2017,general,ELL,7,Ell 007,Buffalo ELL 7,91,2,0,9,3,4,109
2017,general,ELL,8,Ell 008,Buffalo ELL 8,30,3,4,15,0,2,54
2017,general,ELL,9,Ell 009,Buffalo ELL 9,39,3,2,10,0,1,55
2017,general,ELL,10,Ell 010,Buffalo ELL 10,74,0,5,11,1,5,96
2017,general,ELL,11,Ell 011,Buffalo ELL 11,73,1,5,16,0,3,98
2017,general,ELL,12,Ell 012,Buffalo ELL 12,146,1,2,15,0,3,167
2017,general,ELL,13,Ell 013,Buffalo ELL 13,148,2,2,13,0,3,168
2017,general,ELL,14,Ell 014,Buffalo ELL 14,47,2,4,17,0,2,72
2017,general,ELL,15,Ell 015,Buffalo ELL 15,76,2,5,13,0,6,102
2017,general,ELL,16,Ell 016,Buffalo ELL 16,116,8,8,25,0,10,167
2017,general,ELL,17,Ell 017,Buffalo ELL 17,73,2,2,6,0,1,84
2017,general,ELL,18,Ell 018,Buffalo ELL 18,51,0,0,9,1,3,64
2017,general,ELL,19,Ell 019,Buffalo ELL 19,178,1,3,14,2,6,204
2017,general,ELL,20,Ell 020,Buffalo ELL 20,90,0,0,13,0,3,106
2017,general,ELL,21,Ell 021,Buffalo ELL 21,122,4,3,16,1,7,153
2017,general,ELL,22,Ell 022,Buffalo ELL 22,158,2,2,13,0,5,180
2017,general,ELL,23,Ell 023,Buffalo ELL 23,95,2,1,4,0,4,106
2017,general,ELL,24,Ell 024,Buffalo ELL 24,25,2,1,8,0,2,38
2017,general,ELL,25,Ell 025,Buffalo ELL 25,57,5,3,20,0,2,87
2017,general,ELL,26,Ell 026,Buffalo ELL 26,245,3,6,18,0,7,279
2017,general,ELL,27,Ell 027,Buffalo ELL 27,105,1,1,6,0,5,118
2017,general,ELL,28,Ell 028,Buffalo ELL 28,96,2,3,10,0,5,116
2017,general,ELL,29,Ell 029,Buffalo ELL 29,219,4,3,17,0,14,257
2017,general,ELL,30,Ell 030,Buffalo ELL 30,71,1,0,5,0,7,84
2017,general,ELL,31,Ell 031,Buffalo ELL 31,210,6,2,13,0,11,242
2017,general,ELL,32,Ell 032,Buffalo ELL 32,64,0,0,9,0,1,74
2017,general,ELL,33,Ell 033,Buffalo ELL 33,76,5,2,24,0,8,115
2017,general,ELL,34,Ell 034,Buffalo ELL 34,47,1,1,4,1,7,61
2017,general,ELL,35,Ell 035,Buffalo ELL 35,150,4,4,12,0,6,176
2017,general,ELL,36,Ell 036,Buffalo ELL 36,44,2,7,12,0,2,67
2017,general,FIL,1,Fil 001,Buffalo FIL 1,150,8,20,41,1,7,227
2017,general,FIL,2,Fil 002,Buffalo FIL 2,124,8,19,44,0,3,198
2017,general,FIL,3,Fil 003,Buffalo FIL 3,106,7,12,30,0,8,163
2017,general,FIL,4,Fil 004,Buffalo FIL 4,62,5,13,20,0,3,103
2017,general,FIL,5,Fil 005,Buffalo FIL 5,132,4,9,28,0,13,186
2017,general,FIL,6,Fil 006,Buffalo FIL 6,31,3,3,5,0,1,43
2017,general,FIL,7,Fil 007,Buffalo FIL 7,87,4,4,16,2,5,118
2017,general,FIL,8,Fil 008,Buffalo FIL 8,157,15,9,109,1,21,312
2017,general,FIL,9,Fil 009,Buffalo FIL 9,45,1,1,5,0,3,55
2017,general,FIL,10,Fil 010,Buffalo FIL 10,149,5,2,30,2,9,197
2017,general,FIL,11,Fil 011,Buffalo FIL 11,205,1,3,23,4,9,245
2017,general,FIL,12,Fil 012,Buffalo FIL 12,2,1,0,9,0,0,12
2017,general,FIL,13,Fil 013,Buffalo FIL 13,90,5,7,202,0,7,311
2017,general,FIL,14,Fil 014,Buffalo FIL 14,65,8,1,89,0,6,169
2017,general,FIL,15,Fil 015,Buffalo FIL 15,42,3,1,30,0,6,82
2017,general,FIL,16,Fil 016,Buffalo FIL 16,9,1,0,18,0,2,30
2017,general,FIL,17,Fil 017,Buffalo FIL 17,11,0,0,15,0,2,28
2017,general,FIL,18,Fil 018,Buffalo FIL 18,108,5,1,32,1,8,155
2017,general,FIL,19,Fil 019,Buffalo FIL 19,76,11,1,75,0,6,169
2017,general,FIL,20,Fil 020,Buffalo FIL 20,105,2,4,18,0,5,134
2017,general,FIL,21,Fil 021,Buffalo FIL 21,45,0,1,5,2,4,57
2017,general,FIL,22,Fil 022,Buffalo FIL 22,23,1,0,6,0,1,31
2017,general,FIL,23,Fil 023,Buffalo FIL 23,25,0,1,9,0,3,38
2017,general,FIL,24,Fil 024,Buffalo FIL 24,40,1,0,9,2,1,53
2017,general,FIL,25,Fil 025,Buffalo FIL 25,52,5,4,25,0,2,88
2017,general,FIL,26,Fil 026,Buffalo FIL 26,46,4,2,6,0,4,62
2017,general,FIL,27,Fil 027,Buffalo FIL 27,58,2,0,12,0,3,75
2017,general,FIL,28,Fil 028,Buffalo FIL 28,52,6,0,12,1,6,77
2017,general,FIL,29,Fil 029,Buffalo FIL 29,99,2,0,4,2,4,111
2017,general,FIL,30,Fil 030,Buffalo FIL 30,92,2,0,7,0,8,109
2017,general,FIL,31,Fil 031,Buffalo FIL 31,52,1,0,6,0,5,64
2017,general,FIL,32,Fil 032,Buffalo FIL 32,44,3,1,11,1,2,62
2017,general,FIL,33,Fil 033,Buffalo FIL 33,57,0,0,6,0,5,68
2017,general,FIL,34,Fil 034,Buffalo FIL 34,44,1,0,8,0,0,53
2017,general,FIL,35,Fil 035,Buffalo FIL 35,62,4,1,4,0,4,75
2017,general,LOV,1,Lov 001,Buffalo LOV 1,48,0,0,5,1,3,57
2017,general,LOV,2,Lov 002,Buffalo LOV 2,12,2,1,2,0,0,17
2017,general,LOV,3,Lov 003,Buffalo LOV 3,118,2,6,12,0,8,146
2017,general,LOV,4,Lov 004,Buffalo LOV 4,86,0,4,16,0,12,118
2017,general,LOV,5,Lov 005,Buffalo LOV 5,72,2,2,18,1,2,97
2017,general,LOV,6,Lov 006,Buffalo LOV 6,108,4,4,14,2,10,142
2017,general,LOV,7,Lov 007,Buffalo LOV 7,39,1,1,12,0,4,57
2017,general,LOV,8,Lov 008,Buffalo LOV 8,27,0,1,7,0,2,37
2017,general,LOV,9,Lov 009,Buffalo LOV 9,78,3,1,8,2,6,98
2017,general,LOV,10,Lov 010,Buffalo LOV 10,94,1,1,12,0,8,116
2017,general,LOV,11,Lov 011,Buffalo LOV 11,43,1,0,6,0,3,53
2017,general,LOV,12,Lov 012,Buffalo LOV 12,81,6,2,22,0,5,116
2017,general,LOV,13,Lov 013,Buffalo LOV 13,83,10,1,19,0,3,116
2017,general,LOV,14,Lov 014,Buffalo LOV 14,171,5,2,26,1,11,216
2017,general,LOV,15,Lov 015,Buffalo LOV 15,39,6,0,32,0,5,82
2017,general,LOV,16,Lov 016,Buffalo LOV 16,73,10,2,68,0,6,159
2017,general,LOV,17,Lov 017,Buffalo LOV 17,60,7,1,81,0,10,159
2017,general,LOV,18,Lov 018,Buffalo LOV 18,47,14,0,45,0,14,120
2017,general,LOV,19,Lov 019,Buffalo LOV 19,32,3,4,38,0,2,79
2017,general,LOV,20,Lov 020,Buffalo LOV 20,30,6,4,40,0,7,87
2017,general,LOV,21,Lov 021,Buffalo LOV 21,24,7,0,21,0,1,53
2017,general,LOV,22,Lov 022,Buffalo LOV 22,10,1,1,13,0,2,27
2017,general,LOV,23,Lov 023,Buffalo LOV 23,33,4,1,47,0,2,87
2017,general,LOV,24,Lov 024,Buffalo LOV 24,87,11,3,84,0,6,191
2017,general,LOV,25,Lov 025,Buffalo LOV 25,1,0,0,1,0,0,2
2017,general,LOV,26,Lov 026,Buffalo LOV 26,26,1,2,39,0,1,69
2017,general,LOV,27,Lov 027,Buffalo LOV 27,6,0,0,4,0,1,11
2017,general,LOV,28,Lov 028,Buffalo LOV 28,89,19,3,85,0,10,206
2017,general,LOV,29,Lov 029,Buffalo LOV 29,79,1,4,111,0,22,217
2017,general,LOV,30,Lov 030,Buffalo LOV 30,115,4,1,91,0,10,221
2017,general,LOV,31,Lov 031,Buffalo LOV 31,108,7,3,106,0,9,233
2017,general,LOV,32,Lov 032,Buffalo LOV 32,19,3,0,22,0,1,45
2017,general,MAS,1,Mas 001,Buffalo MAS 1,152,2,4,14,1,10,183
2017,general,MAS,2,Mas 002,Buffalo MAS 2,56,1,7,29,0,4,97
2017,general,MAS,3,Mas 003,Buffalo MAS 3,165,5,1,7,0,6,184
2017,general,MAS,4,Mas 004,Buffalo MAS 4,120,0,3,6,0,6,135
2017,general,MAS,5,Mas 005,Buffalo MAS 5,11,0,0,0,0,1,12
2017,general,MAS,6,Mas 006,Buffalo MAS 6,58,0,0,6,0,1,65
2017,general,MAS,7,Mas 007,Buffalo MAS 7,155,3,0,21,1,7,187
2017,general,MAS,8,Mas 008,Buffalo MAS 8,95,1,1,6,1,3,107
2017,general,MAS,9,Mas 009,Buffalo MAS 9,78,0,2,7,0,0,87
2017,general,MAS,10,Mas 010,Buffalo MAS 10,53,3,3,11,1,16,87
2017,general,MAS,11,Mas 011,Buffalo MAS 11,179,2,1,10,0,4,196
2017,general,MAS,12,Mas 012,Buffalo MAS 12,147,5,2,9,2,8,173
2017,general,MAS,13,Mas 013,Buffalo MAS 13,121,1,1,6,3,1,133
2017,general,MAS,14,Mas 014,Buffalo MAS 14,94,1,1,11,0,1,108
2017,general,MAS,15,Mas 015,Buffalo MAS 15,80,3,1,7,0,4,95
2017,general,MAS,16,Mas 016,Buffalo MAS 16,67,2,0,5,0,2,76
2017,general,MAS,17,Mas 017,Buffalo MAS 17,102,2,1,8,1,14,128
2017,general,MAS,18,Mas 018,Buffalo MAS 18,97,2,1,4,2,2,108
2017,general,MAS,19,Mas 019,Buffalo MAS 19,111,0,2,10,3,3,129
2017,general,MAS,20,Mas 020,Buffalo MAS 20,159,4,2,9,2,5,181
2017,general,MAS,21,Mas 021,Buffalo MAS 21,104,3,0,10,0,4,121
2017,general,MAS,22,Mas 022,Buffalo MAS 22,89,1,3,8,1,3,105
2017,general,MAS,23,Mas 023,Buffalo MAS 23,206,0,1,23,1,8,239
2017,general,MAS,24,Mas 024,Buffalo MAS 24,199,2,3,20,2,7,233
2017,general,MAS,25,Mas 025,Buffalo MAS 25,93,1,1,7,0,1,103
2017,general,MAS,26,Mas 026,Buffalo MAS 26,69,2,1,1,1,4,78
2017,general,MAS,27,Mas 027,Buffalo MAS 27,195,1,4,17,0,14,231
2017,general,MAS,28,Mas 028,Buffalo MAS 28,141,0,2,7,0,12,162
2017,general,MAS,29,Mas 029,Buffalo MAS 29,115,0,1,6,2,4,128
2017,general,MAS,30,Mas 030,Buffalo MAS 30,99,5,0,8,0,5,117
2017,general,MAS,31,Mas 031,Buffalo MAS 31,40,2,0,1,1,1,45
2017,general,MAS,32,Mas 032,Buffalo MAS 32,144,1,1,7,1,6,160
2017,general,MAS,33,Mas 033,Buffalo MAS 33,139,2,3,8,0,5,157
2017,general,MAS,34,Mas 034,Buffalo MAS 34,41,2,0,4,0,4,51
2017,general,MAS,35,Mas 035,Buffalo MAS 35,95,0,2,6,0,7,110
2017,general,MAS,36,Mas 036,Buffalo MAS 36,78,3,0,8,0,4,93
2017,general,MAS,37,Mas 037,Buffalo MAS 37,17,0,0,0,0,1,18
2017,general,MAS,38,Mas 038,Buffalo MAS 38,117,1,0,2,0,4,124
2017,general,MAS,39,Mas 039,Buffalo MAS 39,17,0,0,3,0,0,20
2017,general,MAS,40,Mas 040,Buffalo MAS 40,66,1,2,1,2,1,73
2017,general,MAS,41,Mas 041,Buffalo MAS 41,46,0,1,4,0,0,51
2017,general,MAS,42,Mas 042,Buffalo MAS 42,113,1,0,12,0,6,132
2017,general,NIA,1,Nia 001,Buffalo NIA 1,41,0,5,30,0,7,83
2017,general,NIA,2,Nia 002,Buffalo NIA 2,110,8,21,52,0,11,202
2017,general,NIA,3,Nia 003,Buffalo NIA 3,47,1,3,8,0,1,60
2017,general,NIA,4,Nia 004,Buffalo NIA 4,21,2,1,6,0,1,31
2017,general,NIA,5,Nia 005,Buffalo NIA 5,121,3,22,50,2,13,211
2017,general,NIA,6,Nia 006,Buffalo NIA 6,130,7,9,48,0,7,201
2017,general,NIA,7,Nia 007,Buffalo NIA 7,79,2,4,19,0,2,106
2017,general,NIA,8,Nia 008,Buffalo NIA 8,82,2,9,34,0,4,131
2017,general,NIA,9,Nia 009,Buffalo NIA 9,195,9,21,66,0,8,299
2017,general,NIA,10,Nia 010,Buffalo NIA 10,51,1,2,11,1,4,70
2017,general,NIA,11,Nia 011,Buffalo NIA 11,62,1,4,24,1,4,96
2017,general,NIA,12,Nia 012,Buffalo NIA 12,83,5,6,21,0,2,117
2017,general,NIA,13,Nia 013,Buffalo NIA 13,58,2,6,10,0,3,79
2017,general,NIA,14,Nia 014,Buffalo NIA 14,123,4,16,51,0,6,200
2017,general,NIA,15,Nia 015,Buffalo NIA 15,51,2,4,15,0,6,78
2017,general,NIA,16,Nia 016,Buffalo NIA 16,93,8,9,27,0,7,144
2017,general,NIA,17,Nia 017,Buffalo NIA 17,26,0,1,9,0,3,39
2017,general,NIA,18,Nia 018,Buffalo NIA 18,252,8,27,73,0,12,372
2017,general,NIA,19,Nia 019,Buffalo NIA 19,281,13,21,125,0,17,457
2017,general,NIA,20,Nia 020,Buffalo NIA 20,19,2,3,2,0,2,28
2017,general,NIA,21,Nia 021,Buffalo NIA 21,137,5,23,33,0,13,211
2017,general,NIA,22,Nia 022,Buffalo NIA 22,48,0,2,10,0,2,62
2017,general,NIA,23,Nia 023,Buffalo NIA 23,68,2,5,19,0,5,99
2017,general,NIA,24,Nia 024,Buffalo NIA 24,139,6,17,41,0,13,216
2017,general,NIA,25,Nia 025,Buffalo NIA 25,212,9,14,58,0,18,311
2017,general,NIA,26,Nia 026,Buffalo NIA 26,89,4,5,24,0,6,128
2017,general,NIA,27,Nia 027,Buffalo NIA 27,32,4,10,16,1,6,69
2017,general,NIA,28,Nia 028,Buffalo NIA 28,123,2,10,36,0,5,176
2017,general,NOR,1,Nor 001,Buffalo NOR 1,98,12,4,41,1,9,165
2017,general,NOR,2,Nor 002,Buffalo NOR 2,94,12,4,48,0,5,163
2017,general,NOR,3,Nor 003,Buffalo NOR 3,40,1,1,16,1,0,59
2017,general,NOR,4,Nor 004,Buffalo NOR 4,92,8,5,32,0,4,141
2017,general,NOR,5,Nor 005,Buffalo NOR 5,92,2,2,22,0,3,121
2017,general,NOR,6,Nor 006,Buffalo NOR 6,62,6,1,31,0,5,105
2017,general,NOR,7,Nor 007,Buffalo NOR 7,46,8,3,28,0,3,88
2017,general,NOR,8,Nor 008,Buffalo NOR 8,11,1,1,6,0,0,19
2017,general,NOR,9,Nor 009,Buffalo NOR 9,88,2,2,55,1,6,154
2017,general,NOR,10,Nor 010,Buffalo NOR 10,84,5,6,24,0,6,125
2017,general,NOR,11,Nor 011,Buffalo NOR 11,122,8,8,33,0,6,177
2017,general,NOR,12,Nor 012,Buffalo NOR 12,114,6,3,33,0,4,160
2017,general,NOR,13,Nor 013,Buffalo NOR 13,82,7,3,23,1,2,118
2017,general,NOR,14,Nor 014,Buffalo NOR 14,40,1,0,26,1,0,68
2017,general,NOR,15,Nor 015,Buffalo NOR 15,19,5,0,7,0,2,33
2017,general,NOR,16,Nor 016,Buffalo NOR 16,78,7,5,38,1,6,135
2017,general,NOR,17,Nor 017,Buffalo NOR 17,68,8,4,22,1,8,111
2017,general,NOR,18,Nor 018,Buffalo NOR 18,89,6,7,39,0,7,148
2017,general,NOR,19,Nor 019,Buffalo NOR 19,75,6,2,22,1,3,109
2017,general,NOR,20,Nor 020,Buffalo NOR 20,230,20,9,61,1,16,337
2017,general,NOR,21,Nor 021,Buffalo NOR 21,75,7,4,23,0,8,117
2017,general,NOR,22,Nor 022,Buffalo NOR 22,32,2,1,15,0,4,54
2017,general,NOR,23,Nor 023,Buffalo NOR 23,193,10,13,76,0,12,304
2017,general,NOR,24,Nor 024,Buffalo NOR 24,152,6,7,44,0,15,224
2017,general,NOR,25,Nor 025,Buffalo NOR 25,26,3,4,8,0,2,43
2017,general,NOR,26,Nor 026,Buffalo NOR 26,26,1,1,1,0,3,32
2017,general,NOR,27,Nor 027,Buffalo NOR 27,24,1,1,7,0,2,35
2017,general,SOU,1,Sou 001,Buffalo SOU 1,39,4,1,30,0,5,79
2017,general,SOU,2,Sou 002,Buffalo SOU 2,133,14,2,162,0,8,319
2017,general,SOU,3,Sou 003,Buffalo SOU 3,59,0,5,108,0,1,173
2017,general,SOU,4,Sou 004,Buffalo SOU 4,51,5,2,120,0,5,183
2017,general,SOU,5,Sou 005,Buffalo SOU 5,120,14,1,163,1,11,310
2017,general,SOU,6,Sou 006,Buffalo SOU 6,79,10,4,90,0,0,183
2017,general,SOU,7,Sou 007,Buffalo SOU 7,56,6,0,76,0,6,144
2017,general,SOU,8,Sou 008,Buffalo SOU 8,50,3,1,119,0,6,179
2017,general,SOU,9,Sou 009,Buffalo SOU 9,71,15,2,131,0,9,228
2017,general,SOU,10,Sou 010,Buffalo SOU 10,46,7,0,100,0,0,153
2017,general,SOU,11,Sou 011,Buffalo SOU 11,146,17,6,201,1,18,389
