year,election_type,ward,ed_num,ed_label,shapefile_key,Mark J F Schroeder,Byron W Brown,Betty Jean Grant,Taniqua Simmons
2017,primary,DEL,1,Del 001,Buffalo DEL 1,90,122,26,0
2017,primary,DEL,3,Del 003,Buffalo DEL 3,103,112,16,0
2017,primary,DEL,4,Del 004,Buffalo DEL 4,64,121,24,0
2017,primary,DEL,8,Del 008,Buffalo DEL 8,108,111,9,0
2017,primary,DEL,9,Del 009,Buffalo DEL 9,109,128,15,0
2017,primary,DEL,11,Del 011,Buffalo DEL 11,68,131,22,0
2017,primary,DEL,13,Del 013,Buffalo DEL 13,62,83,17,0
2017,primary,DEL,16,Del 016,Buffalo DEL 16,126,140,23,1
2017,primary,DEL,18,Del 018,Buffalo DEL 18,64,108,12,0
2017,primary,DEL,19,Del 019,Buffalo DEL 19,163,168,28,0
2017,primary,DEL,20,Del 020,Buffalo DEL 20,123,132,25,0
2017,primary,DEL,25,Del 025,Buffalo DEL 25,84,134,18,0
2017,primary,DEL,27,Del 027,Buffalo DEL 27,22,50,17,0
2017,primary,DEL,29,Del 029,Buffalo DEL 29,93,100,33,0
2017,primary,DEL,30,Del 030,Buffalo DEL 30,58,88,18,0
2017,primary,DEL,31,Del 031,Buffalo DEL 31,100,106,13,0
2017,primary,DEL,32,Del 032,Buffalo DEL 32,133,127,23,1
2017,primary,DEL,34,Del 034,Buffalo DEL 34,66,89,15,0
2017,primary,ELL,1,Ell 001,Buffalo ELL 1,64,167,41,0
2017,primary,ELL,2,Ell 002,Buffalo ELL 2,48,74,14,1
2017,primary,ELL,3,Ell 003,Buffalo ELL 3,52,113,26,0
2017,primary,ELL,4,Ell 004,Buffalo ELL 4,21,187,54,3
2017,primary,ELL,7,Ell 007,Buffalo ELL 7,22,206,54,7
2017,primary,ELL,11,Ell 011,Buffalo ELL 11,33,126,50,0
2017,primary,ELL,13,Ell 013,Buffalo ELL 13,30,130,32,0
2017,primary,ELL,14,Ell 014,Buffalo ELL 14,20,19,4,0
2017,primary,ELL,15,Ell 015,Buffalo ELL 15,49,85,22,0
2017,primary,ELL,16,Ell 016,Buffalo ELL 16,13,65,15,0
2017,primary,ELL,18,Ell 018,Buffalo ELL 18,33,69,24,0
2017,primary,ELL,19,Ell 019,Buffalo ELL 19,52,179,41,2
2017,primary,ELL,21,Ell 021,Buffalo ELL 21,20,82,22,0
2017,primary,ELL,22,Ell 022,Buffalo ELL 22,22,158,37,0
2017,primary,ELL,24,Ell 024,Buffalo ELL 24,21,56,13,2
2017,primary,ELL,25,Ell 025,Buffalo ELL 25,38,177,37,1
2017,primary,ELL,27,Ell 027,Buffalo ELL 27,3,57,31,0
2017,primary,ELL,28,Ell 028,Buffalo ELL 28,18,106,34,2
2017,primary,ELL,29,Ell 029,Buffalo ELL 29,46,174,47,0
2017,primary,ELL,31,Ell 031,Buffalo ELL 31,31,130,44,0
2017,primary,ELL,33,Ell 033,Buffalo ELL 33,110,114,12,1
