year,election_type,ward,ed_num,ed_label,shapefile_key,India B. Walton,Byron Brown,Ben Carlisle,Jaz Miles,William O'Dell,"Blank, Void, and Scattering",TOTAL
2021,general,DEL,1,DEL 001,Buffalo DEL 1,3,1,0,0,0,0,4
2021,general,DEL,2,DEL 002,Buffalo DEL 2,227,389,8,0,1,13,638
2021,general,DEL,3,DEL 003,Buffalo DEL 3,81,250,1,0,0,2,334
2021,general,DEL,4,DEL 004,Buffalo DEL 4,76,132,1,0,0,7,216
2021,general,DEL,5,DEL 005,Buffalo DEL 5,117,187,2,0,0,4,310
2021,general,DEL,6,DEL 006,Buffalo DEL 6,96,131,0,0,0,6,233
2021,general,DEL,7,DEL 007,Buffalo DEL 7,160,282,0,0,0,3,445
2021,general,DEL,8,DEL 008,Buffalo DEL 8,195,320,2,0,0,1,518
2021,general,DEL,9,DEL 009,Buffalo DEL 9,199,373,2,0,1,6,581
2021,general,DEL,10,DEL 010,Buffalo DEL 10,55,141,0,0,0,1,197
2021,general,DEL,11,DEL 011,Buffalo DEL 11,171,232,4,0,0,3,410
2021,general,DEL,12,DEL 012,Buffalo DEL 12,142,276,1,0,0,7,426
2021,general,DEL,13,DEL 013,Buffalo DEL 13,83,130,0,0,0,3,216
2021,general,DEL,14,DEL 014,Buffalo DEL 14,137,213,0,0,1,5,356
2021,general,DEL,15,DEL 015,Buffalo DEL 15,109,144,0,0,0,11,264
2021,general,DEL,16,DEL 016,Buffalo DEL 16,207,253,1,0,0,8,469
2021,general,DEL,17,DEL 017,Buffalo DEL 17,151,204,2,0,0,8,365
2021,general,DEL,18,DEL 018,Buffalo DEL 18,79,158,0,0,0,2,239
2021,general,DEL,19,DEL 019,Buffalo DEL 19,118,193,1,0,0,6,318
2021,general,DEL,20,DEL 020,Buffalo DEL 20,82,200,1,0,0,2,285
2021,general,DEL,21,DEL 021,Buffalo DEL 21,114,312,1,0,0,3,430
2021,general,DEL,22,DEL 022,Buffalo DEL 22,64,185,1,0,0,0,250
2021,general,DEL,23,DEL 023,Buffalo DEL 23,185,224,1,0,0,3,413
2021,general,DEL,24,DEL 024,Buffalo DEL 24,171,119,2,0,0,5,297
2021,general,DEL,25,DEL 025,Buffalo DEL 25,247,192,1,0,0,3,443
2021,general,DEL,26,DEL 026,Buffalo DEL 26,157,247,0,0,0,2,406
2021,general,DEL,27,DEL 027,Buffalo DEL 27,70,58,0,0,0,6,134
2021,general,DEL,28,DEL 028,Buffalo DEL 28,123,115,2,0,0,3,243
2021,general,DEL,29,DEL 029,Buffalo DEL 29,255,198,0,0,0,2,455
2021,general,DEL,30,DEL 030,Buffalo DEL 30,251,251,1,0,0,4,507
2021,general,DEL,31,DEL 031,Buffalo DEL 31,321,244,2,0,0,6,573
2021,general,DEL,32,DEL 032,Buffalo DEL 32,259,317,0,0,0,8,584
2021,general,DEL,33,DEL 033,Buffalo DEL 33,143,189,1,0,0,3,336
2021,general,DEL,34,DEL 034,Buffalo DEL 34,167,233,5,0,0,9,414
2021,general,ELL,1,ELL 001,Buffalo ELL 1,346,255,0,0,0,13,614
2021,general,ELL,2,ELL 002,Buffalo ELL 2,99,66,1,0,0,0,166
2021,general,ELL,3,ELL 003,Buffalo ELL 3,136,182,1,0,0,7,326
2021,general,ELL,4,ELL 004,Buffalo ELL 4,53,47,0,0,0,5,105
2021,general,ELL,5,ELL 005,Buffalo ELL 5,45,33,0,0,0,3,81
2021,general,ELL,6,ELL 006,Buffalo ELL 6,75,50,0,0,0,6,131
2021,general,ELL,7,ELL 007,Buffalo ELL 7,64,75,0,0,0,12,151
2021,general,ELL,8,ELL 008,Buffalo ELL 8,31,41,0,0,0,4,76
