year,election_type,ward,ed_num,ed_label,shapefile_key,India B. Walton,Le'Candice M. Durham,Byron W. Brown,Blank,Void,Scattering,Total
2021,primary,DEL,1,DEL 1 (2 & NOR 4),Buffalo DEL 1,157,4,103,0,0,0,264
2021,primary,DEL,3,DEL 3 (7 & UNI 1),Buffalo DEL 3,169,5,132,3,0,0,309
2021,primary,DEL,4,"DEL 4 (5, 6)",Buffalo DEL 4,131,8,96,2,2,0,239
2021,primary,DEL,8,"DEL 8 (9, 10, 15)",Buffalo DEL 8,297,6,195,4,0,2,504
2021,primary,DEL,11,DEL 11 (12),Buffalo DEL 11,144,9,98,2,0,1,254
2021,primary,DEL,13,"DEL 13 (14 & NOR 10, 11)",Buffalo DEL 13,175,4,117,1,0,2,299
2021,primary,DEL,16,DEL 16 (17),Buffalo DEL 16,212,8,128,0,0,2,350
2021,primary,DEL,18,"DEL 18 (22, 26)",Buffalo DEL 18,125,1,83,1,0,0,210
2021,primary,DEL,19,DEL 19 (23),Buffalo DEL 19,166,2,96,1,0,0,265
2021,primary,DEL,20,DEL 20 (21 & MAS 2),Buffalo DEL 20,178,4,114,3,0,0,299
2021,primary,DEL,24,"DEL 24 (25, 28)",Buffalo DEL 24,288,6,114,2,0,3,413
2021,primary,DEL,27,DEL 27,Buffalo DEL 27,26,2,42,0,0,0,70
2021,primary,DEL,29,DEL 29 (NIA 5),Buffalo DEL 29,236,0,68,7,0,1,312
2021,primary,DEL,30,DEL 30 (31),Buffalo DEL 30,327,6,115,3,0,0,451
2021,primary,DEL,32,"DEL 32 (33, 34 & NIA 15)",Buffalo DEL 32,369,3,144,6,0,0,522
2021,primary,ELL,1,ELL 1,Buffalo ELL 1,173,8,110,0,0,2,293
2021,primary,ELL,2,ELL 2 (FIL 5),Buffalo ELL 2,120,1,60,2,0,0,183
2021,primary,ELL,3,"ELL 3 (8, 9)",Buffalo ELL 3,118,3,76,1,0,1,199
2021,primary,ELL,4,"ELL 4 (5, 6, 10)",Buffalo ELL 4,101,11,121,3,0,0,236
2021,primary,ELL,7,"ELL 7 (MAS 30, 39, 40)",Buffalo ELL 7,67,11,121,1,1,1,202
2021,primary,ELL,11,"ELL 11 (12, 13, 17)",Buffalo ELL 11,148,11,193,2,3,1,358
2021,primary,ELL,14,ELL 14,Buffalo ELL 14,44,1,17,0,0,0,62
2021,primary,ELL,15,ELL 15 (FIL 1),Buffalo ELL 15,134,0,51,4,0,1,190
2021,primary,ELL,16,ELL 16,Buffalo ELL 16,36,1,41,1,1,0,80
2021,primary,ELL,18,ELL 18 (FIL 3),Buffalo ELL 18,72,5,40,0,0,0,117
2021,primary,ELL,19,ELL 19 (20),Buffalo ELL 19,93,4,111,4,0,1,213
2021,primary,ELL,21,ELL 21,Buffalo ELL 21,56,6,41,2,0,0,105
2021,primary,ELL,22,ELL 22 (23),Buffalo ELL 22,65,13,98,1,0,0,177
2021,primary,ELL,24,"ELL 24 (FIL 2, 4, 6, 7)",Buffalo ELL 24,203,4,72,2,1,0,282
2021,primary,ELL,25,ELL 25 (26),Buffalo ELL 25,90,7,136,2,0,1,236
2021,primary,ELL,27,ELL 27,Buffalo ELL 27,38,0,43,1,0,1,83
2021,primary,ELL,28,ELL 28 (32),Buffalo ELL 28,44,3,76,3,0,0,126
2021,primary,ELL,29,"ELL 29 (30, 31)",Buffalo ELL 29,143,15,217,1,2,1,379
