year,election_type,ward,ed_num,ed_label,shapefile_key,Sean M. Ryan,James R. Gardner,Michael Gainer Restore Buffalo,Kevin Gay,Charles A. Notaro,Blank,Void,Scattering,TOTAL
2025,general,DEL,1,DEL 001,Buffalo DEL 1,12,2,2,0,0,0,0,0,16
2025,general,DEL,2,DEL 002,Buffalo DEL 2,204,53,11,0,0,2,1,1,272
2025,general,DEL,3,DEL 003,Buffalo DEL 3,493,192,32,0,0,3,2,6,728
2025,general,DEL,4,DEL 004,Buffalo DEL 4,237,59,7,0,0,2,0,0,305
2025,general,DEL,5,DEL 005,Buffalo DEL 5,73,15,10,0,0,0,0,0,98
2025,general,DEL,6,DEL 006,Buffalo DEL 6,166,60,9,0,0,0,0,1,236
2025,general,DEL,7,DEL 007,Buffalo DEL 7,454,69,31,0,0,3,0,2,559
2025,general,DEL,8,DEL 008,Buffalo DEL 8,271,100,19,0,0,0,0,2,392
2025,general,DEL,9,DEL 009,Buffalo DEL 9,319,79,27,0,0,1,0,3,429
2025,general,DEL,10,DEL 010,Buffalo DEL 10,236,96,21,0,0,1,0,4,358
2025,general,DEL,11,DEL 011,Buffalo DEL 11,270,63,13,0,0,3,0,1,350
2025,general,DEL,12,DEL 012,Buffalo DEL 12,122,33,6,0,0,3,0,1,165
2025,general,DEL,13,DEL 013,Buffalo DEL 13,511,70,31,0,0,2,0,2,616
2025,general,DEL,14,DEL 014,Buffalo DEL 14,145,40,6,0,0,0,0,0,191
2025,general,DEL,15,DEL 015,Buffalo DEL 15,314,74,15,0,0,6,0,5,414
2025,general,DEL,16,DEL 016,Buffalo DEL 16,413,109,24,0,0,4,0,4,554
2025,general,DEL,17,DEL 017,Buffalo DEL 17,397,128,39,0,0,4,0,4,572
2025,general,DEL,18,DEL 018,Buffalo DEL 18,220,75,10,0,0,0,1,3,309
2025,general,DEL,19,DEL 019,Buffalo DEL 19,72,14,4,0,0,3,0,1,94
2025,general,DEL,20,DEL 020,Buffalo DEL 20,240,69,6,0,0,1,0,2,318
2025,general,DEL,21,DEL 021,Buffalo DEL 21,29,9,4,0,0,1,0,0,43
2025,general,DEL,22,DEL 022,Buffalo DEL 22,49,13,2,0,0,2,0,0,66
