year,election_type,ward,ed_num,ed_label,shapefile_key,Mark J F Schroeder,Byron W Brown,Betty Jean Grant,Taniqua Simmons,Beverly A. Gray,Anthony M. Masiello,"Blank, Void & Scattering",TOTAL,Judith Einach Write In,Steven A. Calvaneso,Byron W. Brown,Kevin P. Gaughan,Kevin J. Helfer,Charles J. Flynn,Judith S. Einach,Michael P. Kearns,Bernie Tolbert,Sergio R. Rodriguez,Anita L Howard,Terrence A Robinson,total,India B. Walton,Le'Candice M. Durham,Blank,Void,Scattering,Total,Byron Brown,Ben Carlisle,Jaz Miles,William O'Dell,"Blank, Void, and Scattering",Christopher P. Scanlon,Anthony J.P. Tyson-Thompson,Rasheed N.C. Wyatt,Garnell Whitfield Jr.,Sean M. Ryan,Michael Gainer,James R. Gardner,Michael Gainer Restore Buffalo,Kevin Gay,Charles A. Notaro
2017,primary,DEL,1,Del 001,Buffalo DEL 1,90.0,122.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,3,Del 003,Buffalo DEL 3,103.0,112.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,4,Del 004,Buffalo DEL 4,64.0,121.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,8,Del 008,Buffalo DEL 8,108.0,111.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,9,Del 009,Buffalo DEL 9,109.0,128.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,11,Del 011,Buffalo DEL 11,68.0,131.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,13,Del 013,Buffalo DEL 13,62.0,83.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,16,Del 016,Buffalo DEL 16,126.0,140.0,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,18,Del 018,Buffalo DEL 18,64.0,108.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,DEL,19,Del 019,Buffalo DEL 19,163.0,168.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
