nbhdname,pop_total,pop_white,pop_black,edu_total,edu_bachelors,edu_masters,edu_professional,edu_doctorate,median_income,pct_white,pct_black,pct_college
Allentown,1894.0,1623.0,92.0,1618.0,508.0,297.0,248.0,60.0,44196.0,0.8569,0.0486,0.6879
Black Rock,4141.0,2171.0,597.0,2439.0,244.0,170.0,0.0,0.0,26964.0,0.5243,0.1442,0.1697
Broadway Fillmore,10242.0,1562.0,5023.0,6264.0,543.0,294.0,9.0,100.0,21720.0,0.1525,0.4904,0.151
Central,2973.0,1895.0,709.0,2270.0,798.0,186.0,164.0,39.0,62430.0,0.6374,0.2385,0.5229
Central Park,5239.0,3565.0,1387.0,4107.0,1088.0,836.0,118.0,155.0,85959.0,0.6805,0.2647,0.5349
Delavan Grider,5564.0,401.0,4893.0,3903.0,277.0,76.0,9.0,10.0,30655.0,0.0721,0.8794,0.0953
Ellicott,2783.0,1295.0,968.0,2161.0,176.0,30.0,19.0,8.0,38170.0,0.4653,0.3478,0.1078
Elmwood Bidwell,18144.0,12582.0,3071.0,11463.0,2643.0,2111.0,665.0,748.0,70283.0,0.6935,0.1693,0.538
Elmwood Bryant,8559.0,6597.0,1284.0,7096.0,1774.0,1288.0,443.0,346.0,45884.0,0.7708,0.15,0.5427
Fillmore-Leroy,9095.0,735.0,6700.0,5571.0,704.0,179.0,32.0,27.0,29975.0,0.0808,0.7367,0.1691
First Ward,1646.0,1425.0,80.0,1263.0,147.0,51.0,7.0,0.0,26530.0,0.8657,0.0486,0.1623
Fruit Belt,2392.0,232.0,1943.0,1808.0,193.0,106.0,17.0,0.0,26886.0,0.097,0.8123,0.1748
Genesee-Moselle,5316.0,619.0,3771.0,3763.0,453.0,118.0,9.0,12.0,26630.0,0.1164,0.7094,0.1573
Grant-Amherst,4271.0,2426.0,481.0,2474.0,478.0,158.0,50.0,11.0,32667.0,0.568,0.1126,0.2817
Hamlin Park,6224.0,1137.0,4586.0,3598.0,505.0,206.0,56.0,137.0,43336.0,0.1827,0.7368,0.2513
Hopkins-Tifft,6431.0,5085.0,651.0,4236.0,482.0,129.0,20.0,0.0,44898.0,0.7907,0.1012,0.149
Kaisertown,5486.0,4403.0,291.0,4092.0,558.0,254.0,37.0,7.0,43456.0,0.8026,0.053,0.2092
Kenfield,6889.0,411.0,5379.0,3759.0,388.0,60.0,20.0,3.0,26792.0,0.0597,0.7808,0.1253
Kensington-Bailey,11669.0,1881.0,8645.0,6549.0,761.0,338.0,44.0,28.0,42691.0,0.1612,0.7409,0.1788
Lovejoy,9934.0,6337.0,1833.0,6489.0,401.0,103.0,24.0,7.0,26013.0,0.6379,0.1845,0.0824
Lower West Side,5150.0,1622.0,1780.0,3265.0,373.0,271.0,147.0,14.0,21051.0,0.315,0.3456,0.2466
MLK Park,1354.0,21.0,1055.0,787.0,55.0,0.0,0.0,0.0,16250.0,0.0155,0.7792,0.0699
Masten Park,7986.0,332.0,6828.0,5277.0,697.0,244.0,0.0,9.0,30226.0,0.0416,0.855,0.18
North Park,15831.0,11803.0,2116.0,12071.0,3850.0,1625.0,338.0,257.0,60654.0,0.7456,0.1337,0.5029
Parkside,8709.0,6492.0,1532.0,5983.0,1448.0,1331.0,548.0,278.0,63759.0,0.7454,0.1759,0.6025
Pratt-Willert,4644.0,466.0,4129.0,3371.0,308.0,102.0,12.0,13.0,17334.0,0.1003,0.8891,0.129
Riverside,11109.0,5100.0,1560.0,6637.0,524.0,201.0,9.0,18.0,28930.0,0.4591,0.1404,0.1133
Schiller Park,9710.0,1293.0,6555.0,5345.0,439.0,136.0,0.0,0.0,26257.0,0.1332,0.6751,0.1076
Seneca Babcock,1889.0,1306.0,232.0,1242.0,58.0,41.0,0.0,0.0,25500.0,0.6914,0.1228,0.0797
Seneca-Cazenovia,8801.0,7331.0,656.0,6590.0,861.0,310.0,0.0,16.0,48359.0,0.833,0.0745,0.1801
South Park,14808.0,13370.0,186.0,10622.0,2016.0,1073.0,44.0,80.0,70521.0,0.9029,0.0126,0.3025
University Heights,10873.0,4283.0,4585.0,5806.0,1426.0,915.0,59.0,52.0,49321.0,0.3939,0.4217,0.4223
Upper West Side,8517.0,3329.0,2830.0,4969.0,820.0,239.0,40.0,20.0,33363.0,0.3909,0.3323,0.2252
West Hertel,3960.0,1469.0,1225.0,2573.0,214.0,125.0,3.0,0.0,26682.0,0.371,0.3093,0.1329
West Side,11988.0,5036.0,1877.0,7120.0,1243.0,599.0,121.0,81.0,35305.0,0.4201,0.1566,0.2871
